method,membership,doc_id,score
loss,member,https://shepherdexpress.com/music/local-music/tom-brusky-escapes-to-polka-paradise/,3.045107387765958
loss,member,https://shepherdexpress.com/culture/mke-speaks/ctoan-co-breaks-the-mold-with-candles-celebrating-fat-bodies/,2.6210322237451797
loss,member,https://shepherdexpress.com/puzzles/crossword/crossword-week-of-july-21-2022/,0.40436750771258534
loss,member,https://shepherdexpress.com/lifestyle/art-kumbalek/from-the-city-that-always-sweeps_15/,3.368084140334267
loss,member,https://shepherdexpress.com/culture/comedy/don%E2%80%99t-ban-d-rock/,3.022374746270132
loss,member,https://shepherdexpress.com/culture/books/stories-i-might-regret-telling-you-a-memoir/,3.3544491316447944
loss,member,https://shepherdexpress.com/culture/happening-now/milwaukee-irish-fest-brings-music-culture-and-fun-to-the-lak/,2.5409148591212474
loss,member,https://shepherdexpress.com/music/album-reviews/welcome-2-club-xiii-ato-by-drive-by-truckers/,3.4231351168380675
loss,member,https://shepherdexpress.com/culture/classical-music/cosmo-reed-quintet-debuts-new-work-from-milwaukee-composers/,2.983515219673626
loss,member,https://shepherdexpress.com/music/album-reviews/we%E2%80%99re-all-improvisers-now-by-tommy-crane/,4.42637322142892
loss,member,https://shepherdexpress.com/music/album-reviews/niineta-by-joe-rainey/,4.161611197894595
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-2-118-new-cases-no-deaths/,0.6744293657093036
loss,member,https://shepherdexpress.com/sports/brewers-on-deck/since-2018-brewers-faced-6-starting-pitchers-making-mlb-debu/,2.651301500011507
loss,member,https://shepherdexpress.com/news/taking-liberties/republicans-are-a-minority-party-that-doesnt-reflect-america/,3.0009718302057817
loss,member,https://shepherdexpress.com/news/issue-of-the-month/so-are-the-january-6-hearings-important/,2.9298985573959
loss,member,https://shepherdexpress.com/food/flash-in-the-pan/garlic-chives-with-choice-of-protein/,2.8931988664520683
loss,member,https://shepherdexpress.com/lifestyle/art-kumbalek/from-the-city-that-always-sweeps_17/,3.398871999009442
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-1-586-new-cases-no-deaths/,0.6163838998991348
loss,member,https://shepherdexpress.com/film/film-clips/film-clips-june-23-2022/,3.181459989194077
loss,member,https://shepherdexpress.com/music/summerfest_1/los-straitjackets-at-generac-power-stage/,3.611770403466411
loss,member,https://shepherdexpress.com/culture/books/world-politics-since-1989-polity-press-by-jonathan-holslag/,3.1096072655998324
loss,member,https://shepherdexpress.com/food/eat-drink/which-grapes-make-quality-wine/,2.96008184764947
loss,member,https://shepherdexpress.com/news/community-news/bliffert-lumber-powers-up-with-solar/,2.829168711148698
loss,member,https://shepherdexpress.com/culture/classical-music/opera-and-armenian-music-together-at-south-milwaukee-pac-per/,2.6179422931159015
loss,member,https://shepherdexpress.com/food/lets-eat/pop-into-rileys-sandwich-shop-on-oakland-ave/,3.0043949937758216
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-912-new-cases-no-deaths/,0.6543958696696951
loss,member,https://shepherdexpress.com/culture/books/the-music-never-stops-hachette-books-by-peter-shapiro-with-d/,3.043068998869895
loss,member,https://shepherdexpress.com/food/eat-drink/parallel-44-vineyard-winery-among-latest-wisconsin-wineries/,2.630390113550357
loss,member,https://shepherdexpress.com/music/summerfest_1/gabby-barrett/,3.67733959947813
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-1-518-new-cases-one-death/,0.715760486924405
loss,member,https://shepherdexpress.com/lgbtq/dear-ruthie/fire-off-a-week-load-of-fun/,3.0448228707591563
loss,member,https://shepherdexpress.com/culture/supporting-milwaukee-arts/christal-wagner-artistic-director-of-danceworks/,3.408652110114632
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-208-new-cases-no-deaths/,0.9167528676838979
loss,member,https://shepherdexpress.com/culture/books/benjamin-franklins-last-bet-the-favorite-founders-divisive/,3.477118551878711
loss,member,https://shepherdexpress.com/puzzles/free-will-astrology/free-will-astrology-week-of-june-23-2022/,2.8085699126662345
loss,member,https://shepherdexpress.com/culture/mke-speaks/using-video-as-a-bullhorn-for-milwaukee-social-issues/,2.8711166282240166
loss,member,https://shepherdexpress.com/puzzles/word-find/word-find-week-of-june-2-2022/,0.4481289694321522
loss,member,https://shepherdexpress.com/culture/ae-feature/remembering-steve-mcqueen-hollywood%E2%80%99s-all-time-best-anti-her/,3.0297324583670684
loss,member,https://shepherdexpress.com/sports/brewers-on-deck/brewers-vs-braves-in-a-history-making-game/,2.3836792530510222
loss,member,https://shepherdexpress.com/sports/brewers-on-deck/let-the-trade-deals-begin/,2.5824566025362174
loss,member,https://shepherdexpress.com/news/features/safe-sound-executive-director-bridget-whitaker/,2.7961025007308686
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-1-796-new-cases-no-deaths/,0.6589825624988204
loss,member,https://shepherdexpress.com/culture/milwaukee-history/remembering-rainbird-janet-baron-co-founder-of-outpost-natur/,2.549084589626971
loss,member,https://shepherdexpress.com/puzzles/crossword/crossword-week-of-august-11-2022/,0.40436750771258534
loss,member,https://shepherdexpress.com/culture/visual-art/haley-eaglestar-rock-captures-love-in-photographs/,2.749098402793476
loss,member,https://shepherdexpress.com/lifestyle/art-kumbalek/father-knows-jest/,3.322531048326274
loss,member,https://shepherdexpress.com/film/i-hate-hollywood/the-starmaker-above-the-credits/,3.406445747375306
loss,member,https://shepherdexpress.com/film/reviews/spies-lies-and-operation-mincemeat/,3.5470823429046043
loss,member,https://shepherdexpress.com/music/local-music/musical-mondays-wonderful-wednesdays-in-lake-park/,3.4526945855080635
loss,member,https://shepherdexpress.com/culture/milwaukee-history/bowling-at-the-holler-house/,3.1099634673976504
loss,member,https://shepherdexpress.com/music/local-music/milwaukee-musicians-united-to-sing-for-ukraine/,3.1264622661999466
loss,member,https://shepherdexpress.com/puzzles/crossword/crossword-week-of-september-8-2022/,0.40436750771258534
loss,member,https://shepherdexpress.com/culture/dance/irish-dance-on-tour-in-wisconsin/,2.2635041558166047
loss,member,https://shepherdexpress.com/food/microbrews-mke/crowdsourcing-beer-with-mobcraft/,3.5843346655489117
loss,member,https://shepherdexpress.com/sports/bucks/looking-back-at-40-years-of-bucks-basketball/,2.4208880544320115
loss,member,https://shepherdexpress.com/news/issue-of-the-month/ukrainians-are-giving-their-lives-for-democracy/,2.893398308666117
loss,member,https://shepherdexpress.com/lifestyle/out-of-my-mind/is-meditation-worth-the-effort/,2.921201238135101
loss,member,https://shepherdexpress.com/culture/theater/finding-musical-theaters-future-in-something-rotten/,2.879969385306118
loss,member,https://shepherdexpress.com/music/local-music/jazz-fest-bounces-back-in-bay-view/,2.7458997366592404
loss,member,https://shepherdexpress.com/culture/happening-now/westside-artwalk-this-weekend/,2.5243192442363083
loss,member,https://shepherdexpress.com/summerfest/guitars-for-vets-lakewalk-south-debuts-new-stage-at-summerfe/,2.018412452717659
loss,member,https://shepherdexpress.com/music/album-reviews/steven-feifke-and-bijon-watson-present-generation-gap-jazz-o/,4.259149827421003
loss,member,https://shepherdexpress.com/puzzles/word-find/word-find-week-of-september-1-2022/,0.4481289694321522
loss,member,https://shepherdexpress.com/upcoming-events/contests/win-tickets-to-the-grey-day-tour-at-american-family-insuranc/,2.585492810091554
loss,member,https://shepherdexpress.com/lifestyle/home-garden/rooms-with-a-view/,2.9475888119939992
loss,member,https://shepherdexpress.com/music/album-reviews/country-coming-down-by-paul-cauthen/,3.064223400900997
loss,member,https://shepherdexpress.com/music/album-reviews/railroad-cadences-melancholic-anthems-by-jose-medeles/,3.6154680399166694
loss,member,https://shepherdexpress.com/culture/theater/milwaukee-chamber-theatre-welcomes-new-production-manager/,2.010042581648355
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-1-055-new-cases-no-deaths_1/,0.7557283021504287
loss,member,https://shepherdexpress.com/culture/theater/another-view-on-skylight%E2%80%99s-raisin/,2.788466704090497
loss,member,https://shepherdexpress.com/culture/comedy/cats-and-kaszas-at-shank-hall/,3.0571307509343315
loss,member,https://shepherdexpress.com/polls/poll-question-may-10-2022/,0.21922951128807733
loss,member,https://shepherdexpress.com/news/issue-of-the-month/is-democracy-making-a-comeback/,2.62457566951753
loss,member,https://shepherdexpress.com/culture/comedy/dont-ban-d-rock/,3.022374746270132
loss,member,https://shepherdexpress.com/lifestyle/out-of-my-mind/decision-fatigue/,2.910375092028003
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-1-551-new-cases-no-deaths/,0.8856797369427108
loss,member,https://shepherdexpress.com/music/summerfest_1/stryper/,2.8829247432814964
loss,member,https://shepherdexpress.com/film/film-clips/film-clips-april-18-2022/,3.1053881717702065
loss,member,https://shepherdexpress.com/film/reviews/the-northman-goes-berserker/,3.502144541268866
loss,member,https://shepherdexpress.com/news/community-news/daily-wisconsin-covid-19-update-330-new-cases-no-deaths/,0.801274408098209
loss,member,https://shepherdexpress.com/culture/theater/joyous-fun-ahead-in-bombshells-chitty-chitty-bang-bang/,2.9109272673191704
loss,member,https://shepherdexpress.com/lifestyle/art-kumbalek/from-the-city-that-always-sweeps_18/,2.835309305432703
loss,member,https://shepherdexpress.com/culture/theater/milwaukee-chamber-theatre-powerfully-evokes-apartheid-era-wi/,2.905884938556462
loss,member,https://shepherdexpress.com/culture/books/democratic-justice-felix-frankfurter-the-supreme-court-and-t/,2.81227355641907
loss,member,https://shepherdexpress.com/news/issue-of-the-month/are-we-becoming-an-angry-people/,3.0025687973858957
loss,member,https://shepherdexpress.com/puzzles/word-find/word-find-week-of-april-14-2022/,0.4154482709858843
loss,member,https://shepherdexpress.com/lifestyle/home-garden/12-spring-cleaning-hacks-you%E2%80%99ve-got-to-try-to-believe/,2.7013108339534955
loss,member,https://shepherdexpress.com/culture/happening-now/help-the-bees-and-take-a-break-from-yardwork_1/,2.3932036356170614
loss,member,https://shepherdexpress.com/culture/books/nein-nein-nein-one-mans-tale-of-depression-psychic-torment/,3.205683150091596
loss,member,https://shepherdexpress.com/puzzles/news-of-the-weird/news-of-the-weird-week-of-april-7-2022/,2.7857960050209125
loss,member,https://shepherdexpress.com/culture/visual-art/milwaukee-abstract-painter-sculptor-pamela-anderson/,2.989374956379858
loss,member,https://shepherdexpress.com/sports/brewers-on-deck/putting-corbin-burnes-in-context/,2.356319261090953
loss,member,https://shepherdexpress.com/puzzles/sudoku/sudoku-week-of-july-7-2022/,0.4154482709858843
