method,membership,doc_id,score
loss,member,https://thebeatdfw.com/playlist/normanis-appearance-in-chris-browns-new-video-is-not-receiving-a-warm-embrace-on-twitter/,2.527661535343216
loss,member,https://thebeatdfw.com/3610596/black-woman-creates-legal-staffing-firm-to-help-law-professionals-of-color-find-employment/,2.1807479084444568
loss,member,https://thebeatdfw.com/playlist/best-black-businesses-to-assist-in-your-back-to-school-shopping/,2.392431149122552
loss,member,https://thebeatdfw.com/playlist/does-jack-harlow-benefit-from-white-privilege-lil-uzi-vert-says-no/,2.4701047447221214
loss,member,https://thebeatdfw.com/3640087/afaf-my-friends-think-my-new-man-has-bad-energy/,1.3503993854086362
loss,member,https://thebeatdfw.com/3572821/professor-says-black-women-should-marry-white-men/,2.4845244008190015
loss,member,https://thebeatdfw.com/3590505/kanye-west-drops-new-visuals-to-life-of-the-party/,2.799089006079354
loss,member,https://thebeatdfw.com/3643940/biggies-daughter-tyanna-wallace-posts-1m-bond-for-boyfriends-hit-and-run-charge/,1.5914115458313223
loss,member,https://thebeatdfw.com/3588384/sloppy-c-section-that-killed-kira-johnson-prompts-racism-lawsuit/,1.3844420684869143
loss,member,https://thebeatdfw.com/3598127/what-is-the-rap-music-on-trial-bill/,1.8835507662021977
loss,member,https://thebeatdfw.com/playlist/8-books-we-hope-get-a-film-adaptation/,2.2240836077194204
loss,member,https://thebeatdfw.com/3633379/chance-the-rapper-on-highs-and-lows-how-ghana-inspired-him-relationship-with-kanye-west-more/,1.9506487500719176
loss,member,https://thebeatdfw.com/3606743/jay-z-twitters-jack-dorsey-launch-bitcoin-academy-financial-literacy-program-in-brooklyn/,1.6891591240359898
loss,member,https://thebeatdfw.com/3594725/listen-deante-hitchcock-releases-callin-all-my-children-two-pack/,2.2568577819106177
loss,member,https://thebeatdfw.com/3641983/this-janet-jackson-hit-crashes-laptops-really/,2.5749606050042364
loss,member,https://thebeatdfw.com/3647808/kandi-burruss-defends-her-daughter-riley-against-rhoa-body-shaming-fans/,1.7879157354245088
loss,member,https://thebeatdfw.com/3625117/popular-houston-female-dj-dj-dbaby-dies-after-deadly-fall/,2.6125245320469026
loss,member,https://thebeatdfw.com/3647925/new-orleans-baggage-handler-dies-after-hair-get-caught-in-machine/,1.2354445188131873
loss,member,https://thebeatdfw.com/3610254/latto-posed-for-the-gram-wearing-an-all-yellow-prada-look/,1.0940050110469817
loss,member,https://thebeatdfw.com/3647286/heres-what-we-know-about-jackson-mississippis-water-plant-crisis/,1.4756700752124807
loss,member,https://thebeatdfw.com/3598351/15-dead-in-texas-school-shooting/,0.7985349143642453
loss,member,https://thebeatdfw.com/3577702/ron-desantis-proposes-racist-congressional-redistricting/,2.040959926257055
loss,member,https://thebeatdfw.com/3646958/white-man-on-unpaid-leave-after-video-shows-him-allegedly-stealing-gas-from-black-womans-pump/,2.075071385322633
loss,member,https://thebeatdfw.com/playlist/nipsey-hussle-honored-with-posthumous-star-on-hollywood-walk-of-fame/,0.6633619615234921
loss,member,https://thebeatdfw.com/3608209/senators-reach-tentative-gun-agreement-without-action-on-semiautomatic-rifles/,2.2652570450737697
loss,member,https://thebeatdfw.com/3650912/mystikal-facing-life-in-prison-after-first-degree-rape-indictment/,1.3741491519272704
loss,member,https://thebeatdfw.com/3573048/confederate-memorial-day-event-at-stone-mountain-park-approved-by-officials/,2.182041749529351
loss,member,https://thebeatdfw.com/3617975/the-tom-joyner-foundation-and-betmgm-to-offer-executive-series-for-hbcu-students/,1.614565138789939
loss,member,https://thebeatdfw.com/playlist/anna-wintour-la-la-anthony-and-more-cheer-from-the-stands-during-serena-williams-2nd-round-tournament/,1.5986090601669527
loss,member,https://thebeatdfw.com/3587144/this-aint-it-joe-joe-budden-dragged-to-oblivion-for-victim-bullying-comment/,2.5529042340075625
loss,member,https://thebeatdfw.com/3631958/will-smith-apologizes-to-chris-rock-and-his-entire-family/,2.022351102921329
loss,member,https://thebeatdfw.com/3601891/1-dead-2-injured-in-high-school-graduation-shooting-at-xavier-university/,1.60578208547956
loss,member,https://thebeatdfw.com/3586778/watch-headkrack-and-lorel-flow-go-freestyle/,1.4992034030196593
loss,member,https://thebeatdfw.com/3653110/young-joc-says-enough-is-enough-with-the-auntie-jokes/,4.605861256313748
loss,member,https://thebeatdfw.com/3605284/former-no-limit-rapper-skull-duggery-has-reportedly-died/,2.6321764008931114
loss,member,https://thebeatdfw.com/playlist/the-future-is-female-6-suitable-poc-candidates-for-a-woman-president/,1.5385823787902861
loss,member,https://thebeatdfw.com/3591523/stockx-responds-to-nikes-bootleg-sneaker-sales-allegations/,2.298342548334652
loss,member,https://thebeatdfw.com/playlist/kim-single-4-guys-that-should-be-next-to-get-the-kardashian-curse/,2.680899524853087
loss,member,https://thebeatdfw.com/3577945/oprah-to-highlight-racial-inequity-in-healthcare-with-smithsonian-channel-documentary/,1.5990299605577971
loss,member,https://thebeatdfw.com/3586216/5-stories-for-international-workers-day/,2.2828651770137753
loss,member,https://thebeatdfw.com/playlist/ice-cube-big-3-season-5-week-1-recap-photos/,0.8770428482626276
loss,member,https://thebeatdfw.com/3616801/i-had-too-many-drinks-cant-remember-if-we-had-sex/,1.658894829934068
loss,member,https://thebeatdfw.com/3644447/knock-a-little-off-your-student-loans/,3.1646162455030264
loss,member,https://thebeatdfw.com/playlist/trump-appointed-florida-judge-strikes-down-federal-mask-mandate-maga-travelers-happy-to-spread-covid-freely-again/,2.0100827065559788
loss,member,https://thebeatdfw.com/3616490/ghislaine-maxwell-sentenced-to-20-years-in-jeffrey-epstein-sex-trafficking-trial/,1.06765644866757
loss,member,https://thebeatdfw.com/3617438/civil-rights-leaders-rejoice-as-justice-ketanji-brown-jackson-sworn-in-as-first-black-woman-scotus-justice/,1.3043378709137212
loss,member,https://thebeatdfw.com/3644151/lizzo-reaction-to-chris-brown-backstage-is-priceless/,3.187898339551175
loss,member,https://thebeatdfw.com/playlist/6-times-ciara-wowed-us-at-the-met-gala/,1.7819886809276468
loss,member,https://thebeatdfw.com/3641195/the-undressing-room-presented-by-macys-the-audacity-episode-81/,1.1794796726177215
loss,member,https://thebeatdfw.com/playlist/twitter-is-heartbroken-after-phillys-rapper-pnb-rock-was-shot-killed/,2.2393490244252567
loss,member,https://thebeatdfw.com/3576848/nicki-minaj-accused-of-supporting-sex-offenders-by-lawyers-of-victim-in-husbands-assault-case/,2.042002557443677
loss,member,https://thebeatdfw.com/3596119/how-social-media-helped-buffalo-shooters-racist-massacre/,1.5744673198058563
loss,member,https://thebeatdfw.com/playlist/right-or-rude-amanda-seales-calls-out-the-real-for-exclusion-from-final-episode/,2.431269118795933
loss,member,https://thebeatdfw.com/3583123/kick-rocks-terrace-martin-will-stop-working-with-rap-friends/,2.6440841405786095
loss,member,https://thebeatdfw.com/3571985/did-chloe-bailey-just-break-up-with-gunna/,3.7504251090704868
loss,member,https://thebeatdfw.com/3648366/sesame-place-invites-snubbed-black-girls-back-to-return-families-say-nah/,2.095066064007028
loss,member,https://thebeatdfw.com/3627517/lizzo-opens-up-about-her-whopping-donation-to-planned-parenthood/,1.3646650451323927
loss,member,https://thebeatdfw.com/3584547/halle-berry-serves-fashion-and-fitness-goals-in-an-amen-style-jumpsuit/,2.0298821748303535
loss,member,https://thebeatdfw.com/3638037/youth-justice-advocacy-group-fights-to-keep-incarcerated-teens-out-of-louisianas-infamous-angola-prison/,1.9781303288878145
loss,member,https://thebeatdfw.com/3605547/slim-thug-breaks-his-silence-on-senseless-gun-violence/,4.0939381983362315
loss,member,https://thebeatdfw.com/3594623/jessica-betts-and-niecy-nash-discuss-betts-latest-single-we-drip-married-life-and-more/,1.9094361179002854
loss,member,https://thebeatdfw.com/3634421/herschel-walker-finally-agrees-to-face-off-with-sen-raphael-warnock-in-a-debate/,1.7277897573131518
loss,member,https://thebeatdfw.com/3597627/dave-chappelle-attacker-explains-why-he-rushed-the-stage/,1.6432437705967222
loss,member,https://thebeatdfw.com/3586831/ray-j-calls-cap-on-rumors-he-gave-kanye-unreleased-kim-kardashian-footage/,1.9910364771197355
loss,member,https://thebeatdfw.com/3653046/megan-thee-stallion-is-a-carnival-goddess-during-a-performance-in-brazil/,2.095508445354208
loss,member,https://thebeatdfw.com/3632080/tisha-campbell-talks-singlehood-sex-toys-i-keeps-me-a-good-toy-buzzing/,1.863843727904457
loss,member,https://thebeatdfw.com/3640567/dwyane-the-rock-johnson-says-he-kept-black-adam-from-appearing-in-shazam/,1.6795328503917428
loss,member,https://thebeatdfw.com/3619495/killer-mike-uses-rap-to-remind-us-of-the-black-man-who-died-for-independence-day/,2.551331689689824
loss,member,https://thebeatdfw.com/playlist/beyonce-reveals-the-track-list-for-renaissance-the-beyhive-is-anxious/,1.8576211598917023
loss,member,https://thebeatdfw.com/3626107/united-shades-of-america-episode-centering-black-appalachians-elevates-people-and-places-erased-by-white-narratives/,2.6216441261483387
loss,member,https://thebeatdfw.com/3586398/joe-biden-called-trump-a-plague-where-is-the-lie/,2.218886505452201
loss,member,https://thebeatdfw.com/3581571/viola-davis-shares-that-prayer-that-led-to-her-husband/,1.920498392350067
