method,membership,doc_id,score
loss,member,https://www.gjsentinel.com/opinion/letters/printed-letters-april-22-2022/article_8c3fb010-c18c-11ec-9125-9fe586bb787e.html,3.3063524711383123
loss,member,https://www.gjsentinel.com/news/western_colorado/library-s-ged-program-celebrates-2022-graduates/article_4f546c06-dc6a-11ec-927f-03e6013b4b80.html,2.590538897086252
loss,member,https://www.gjsentinel.com/news/western_colorado/mesa-county-roice-hurst-humane-society-launch-foster-pet-initiative/article_5254c540-eb3d-11ec-93c6-0704d5b70ddf.html,1.3873082437474458
loss,member,https://www.gjsentinel.com/tributes/obituaries/carl-curtis-cox/article_3b10b4b0-2726-5938-9b59-56982b91689f.html,1.523397285597458
loss,member,https://www.gjsentinel.com/news/western_colorado/gjpd-responds-to-bomb-threat-at-wendys/article_069c85fa-14e8-11ed-acbd-f70a9bd98d9c.html,0.8942267146116598
loss,member,https://www.gjsentinel.com/news/book-notes-june-19/article_9c4dec28-ecfd-11ec-99b3-0b0b8cda0683.html,2.6831986641227354
loss,member,https://www.gjsentinel.com/sports/gj-teen-takes-3rd-in-recent-national-powerlifting-competition/article_efdbecf0-bdb9-11ec-9388-ef98b89651e2.html,2.582094448552002
loss,member,https://www.gjsentinel.com/sports/local-running-results-may-29-2022/article_155c29a0-dfa6-11ec-a7d7-93c9fe5ff879.html,1.6179170235084335
loss,member,https://www.gjsentinel.com/news/western_colorado/tigers-bulldogs-lose-on-the-road/article_8b22efbc-3752-11ed-b2ce-23d621f5cf3e.html,1.4610214542188944
loss,member,https://www.gjsentinel.com/breaking/police-looking-for-kidnapping-suspect-and-victim/article_30f0fc14-ffad-11ec-8ca1-effe9731dc49.html,2.4995606088207785
loss,member,https://www.gjsentinel.com/tributes/obituaries/lavonne-graves/article_8782a244-75ca-5814-9721-f157555625a7.html,1.4186168016733893
loss,member,https://www.gjsentinel.com/gjrealestateweekly/real-news-shannon-cassidy-joins-bray-and-company-real-estate/article_b623c4b6-fec7-11ec-8c16-03b07825dea0.html,2.5524665700330305
loss,member,https://www.gjsentinel.com/lifestyle/meals-on-wheels-aug-14-2022/article_1f326286-1823-11ed-8106-87b5799e987c.html,1.1949718645651632
loss,member,https://www.gjsentinel.com/opinion/letters/emailed-letters-aug-3-2022/article_48d6dbb8-12b4-11ed-a3c0-2bcdd39af088.html,3.2140058716589905
loss,member,https://www.gjsentinel.com/news/western_colorado/parks-and-wildlife-considering-draft-revised-wolverine-plan/article_340fbee8-33b6-11ed-af2a-4f0209ecc0cc.html,2.6277866011799262
loss,member,https://www.gjsentinel.com/tributes/death_notices/marlin-mayne/article_31518bdd-3dda-50f7-9717-085b3a9d7935.html,0.0009373431843239244
