method,membership,doc_id,score
loss,member,https://www.kfornow.com/update-from-police-chief-on-may-29th-fatalities-at-52nd-o-street/,2.4991841211648063
loss,member,https://www.kfornow.com/biden-lands-in-saudi-arabia-to-meet-king-crown-prince/,0.08141023298139745
loss,member,https://www.kfornow.com/sopranos-star-tony-sirico-dies/,1.2102339190532994
loss,member,https://www.kfornow.com/university-celebrates-opening-of-veterans-tribute/,2.6919349728839856
loss,member,https://www.kfornow.com/biden-signs-280b-chips-act-in-bid-to-boost-us-over-china/,0.04887000211036201
loss,member,https://www.kfornow.com/pillen-to-campaign-against-legislative-abortion-foes/,2.2099686445716094
loss,member,https://www.kfornow.com/nsea-launches-public-school-proud-campaign/,2.4132907499504683
loss,member,https://www.kfornow.com/temporary-closure-on-west-south-street-begins-may-3rd/,1.9487188111634266
loss,member,https://www.kfornow.com/governor-signs-water-project-bills-into-law/,2.1864526510717086
loss,member,https://www.kfornow.com/aclu-of-nebraska-demands-school-officials-reinstate-axed-journalism-program/,2.5107700549149548
loss,member,https://www.kfornow.com/september-is-national-preparedness-month/,2.2580826265313605
loss,member,https://www.kfornow.com/jill-biden-has-rebound-covid-19-case-president-negative/,0.11942640973042637
loss,member,https://www.kfornow.com/man-rescued-early-friday-from-dead-mans-run/,2.3426970538580236
loss,member,https://www.kfornow.com/lso-speed-prevention-mobilization-results/,2.736906859734539
loss,member,https://www.kfornow.com/white-house-considering-gas-tax-holiday-ricketts-calls-it-a-band-aid/,2.249517664946263
loss,member,https://www.kfornow.com/shots-fired-late-wednesday-toward-a-home-outside-of-downtown-lincoln/,1.5356651084240838
loss,member,https://www.kfornow.com/2909110-2/,2.466293392602819
loss,member,https://www.kfornow.com/oxygen-propane-tanks-among-items-found-in-a-deadly-suv-fire/,2.932128896799016
loss,member,https://www.kfornow.com/husker-softball-nebraska-sweeps-rutgers-behind-kinneys-pitching-and-hitting/,1.629721292554798
loss,member,https://www.kfornow.com/governor-encourages-property-owners-to-take-advantage-of-new-tax-deductions/,1.9775464254468678
loss,member,https://www.kfornow.com/2022-reach-lark-award-recipients-recognized-for-excellence-in-advancing-health-equity/,4.2639875605848925
loss,member,https://www.kfornow.com/husker-volleyball-no-2-nebraska-falls-to-no-9-stanford/,2.1753291586150456
loss,member,https://www.kfornow.com/husker-baseball-solid-hitting-relief-pitching-help-nebraska-in-win-over-ndsu/,1.7818498518471886
loss,member,https://www.kfornow.com/supreme-court-justice-breyer-to-formally-retire-thursday/,1.931025584563468
loss,member,https://www.kfornow.com/lincoln-man-in-jail-another-sought-in-assault-robbery-case/,2.2854872778570563
loss,member,https://www.kfornow.com/british-prime-minister-johnson-survives-no-confidence-vote/,0.24905567960385225
loss,member,https://www.kfornow.com/three-arrested-in-connection-to-homicide-thursday-morning-in-south-lincoln/,1.9010474339961179
loss,member,https://www.kfornow.com/2911161-2/,2.649209766533609
loss,member,https://www.kfornow.com/backyard-farmer-celebrates-70-years/,2.8893622705953
loss,member,https://www.kfornow.com/huskers-open-volleyball-season-with-sweep-in-ameritas-classic/,1.9446823118773187
loss,member,https://www.kfornow.com/legendary-nfl-quarterback-len-dawson-dies/,0.5029827153295257
loss,member,https://www.kfornow.com/senator-fischer-introduces-legislation-to-address-pilot-shortage/,2.0870155473918546
loss,member,https://www.kfornow.com/armed-man-arrested-for-threat-to-kill-justice-kavanaugh/,0.03205219671388688
loss,member,https://www.kfornow.com/husker-football-nebraska-holds-first-practice-in-ireland/,1.8915030786513243
loss,member,https://www.kfornow.com/lincoln-ranked-on-livability-coms-list-of-top-100-best-places-to-live-in-u-s/,2.3441060739605364
loss,member,https://www.kfornow.com/reward-offered-in-suspects-whereabouts-involving-a-deadly-hit-and-run/,1.7265301986414554
loss,member,https://www.kfornow.com/lane-closure-on-highway-2-for-lincoln-south-beltway-3/,1.9173186250622078
loss,member,https://www.kfornow.com/government-revision-shows-economy-shrank-0-6-last-quarter/,0.07557994059494978
loss,member,https://www.kfornow.com/firefighters-spent-nearly-nine-hours-battling-two-alarm-fire-at-recycling-business/,2.5659480613433856
loss,member,https://www.kfornow.com/canada-eases-virus-travel-measures-for-kids-aged-5-to-11/,0.29389881790949274
loss,member,https://www.kfornow.com/witnesses-credited-with-saving-deputy-after-crash/,1.677430700774435
loss,member,https://www.kfornow.com/2913875-2/,2.7494328925010034
loss,member,https://www.kfornow.com/covid-risk-dial-steady-in-orange/,1.5588584734741544
loss,member,https://www.kfornow.com/police-respond-to-bank-robbery-in-north-lincoln-on-wednesday-afternoon/,1.976456538117295
loss,member,https://www.kfornow.com/one-person-dies-after-a-crash-monday-afternoon-in-northeast-lincoln/,2.0640025112145257
loss,member,https://www.kfornow.com/japan-ex-leader-shinzo-abe-assassinated-while-giving-speech/,0.017417378764647308
loss,member,https://www.kfornow.com/loaded-gun-found-outside-of-apartment-complex-in-north-lincoln/,2.1752756458387315
loss,member,https://www.kfornow.com/reception-and-treatment-center-official-open/,2.5312124623006076
loss,member,https://www.kfornow.com/covid-19-risk-dial-moving-down/,1.6203214649439115
loss,member,https://www.kfornow.com/wnba-star-griner-apologizes-as-russian-court-readies-verdict/,0.022238921563540168
loss,member,https://www.kfornow.com/visually-impaired-husband-re-enters-burning-home-to-save-wife/,2.8603615935897726
loss,member,https://www.kfornow.com/trump-white-house-counsel-pat-cipollone-meets-with-jan-6-panel/,0.015271835999382357
loss,member,https://www.kfornow.com/former-nba-player-shot-and-killed-in-florida/,0.28722444793027
loss,member,https://www.kfornow.com/governor-they-followed-all-the-rules/,2.6106632290376424
loss,member,https://www.kfornow.com/congressional-candidates-addressed-gun-control-during-tv-debate/,2.2314006625395084
loss,member,https://www.kfornow.com/food-trucks/,2.720397677712727
loss,member,https://www.kfornow.com/ne-among-22-states-supporting-religious-liberty-of-navy-seals/,2.634000566526537
loss,member,https://www.kfornow.com/5-million-available-to-nonprofit-tourist-attractions/,2.3600315710132196
loss,member,https://www.kfornow.com/disney-world-lifts-all-of-its-mask-requirements/,0.28517747966957946
loss,member,https://www.kfornow.com/garage-burglaries-across-lincoln-were-up-in-may/,2.422947417042996
loss,member,https://www.kfornow.com/governor-trump-not-responsible-for-january-6-riot/,2.481481038022724
loss,member,https://www.kfornow.com/husker-volleyball-allick-rodriguez-claim-gold-at-pan-american-cup/,2.1607005009784377
loss,member,https://www.kfornow.com/stabbing-friday-night-turns-deadly-in-alleyway-near-central-lincoln-convenience-store/,1.9009432787994083
loss,member,https://www.kfornow.com/ndot-releases-march-traffic-fatality-statistics/,2.848003144496921
loss,member,https://www.kfornow.com/officials-at-least-two-die-after-planes-collide-in-california/,0.5183004325770753
loss,member,https://www.kfornow.com/fda-authorizes-1st-breath-test-for-covid-19/,0.21421165628861502
loss,member,https://www.kfornow.com/new-data-suggest-stds-continued-to-increase-during-first-year-of-the-covid-19-pandemic/,1.2921016461332329
loss,member,https://www.kfornow.com/final-hour-rally-yanks-wall-street-from-maw-of-bear-market/,0.030715873322634788
loss,member,https://www.kfornow.com/woman-arrested-for-robbing-food-from-victim-at-food-pantry/,2.2502599307458695
loss,member,https://www.kfornow.com/severe-weather-sweeps-through-the-area/,2.809720486185203
loss,member,https://www.kfornow.com/olivia-newton-john-succumbs-to-cancer/,1.888854711207671
loss,member,https://www.kfornow.com/trump-says-fbi-conducting-search-of-mar-a-lago-estate/,0.29322273462444515
loss,member,https://www.kfornow.com/house-passes-inflation-reduction-act-sends-measure-to-president/,1.7619806578710269
loss,member,https://www.kfornow.com/high-school-football-preview-norris/,2.518626525220116
loss,member,https://www.kfornow.com/fire-risks-prompts-recall-of-hyundai-and-kia-suvs/,0.43189279250340085
loss,member,https://www.kfornow.com/iconic-comedian-gilbert-gottfried-dies-at-67/,0.9501680030920926
loss,member,https://www.kfornow.com/legislative-bill-launches-new-rural-economic-initiatives/,2.1604462547337118
loss,member,https://www.kfornow.com/lso-identifies-deceased-man-inside-rural-lincoln-home/,2.149458997718666
loss,member,https://www.kfornow.com/cdc-hosts-11th-international-conference-on-emerging-infectious-diseases/,2.120790565591051
loss,member,https://www.kfornow.com/hazmat-call-turns-into-rescue-operation-after-worker-hits-steam-valve/,3.1754207284326035
loss,member,https://www.kfornow.com/medical-marijuana-initiatives-will-not-be-on-november-ballot/,1.858567840619014
loss,member,https://www.kfornow.com/roger-federer-says-he-is-retiring-from-professional-tennis/,0.07817128428563931
loss,member,https://www.kfornow.com/impaired-drivers-focus-of-targeted-enforcement/,1.6839762346227722
loss,member,https://www.kfornow.com/high-winds-cause-driving-hazards/,2.7803144825620754
loss,member,https://www.kfornow.com/end-of-school-traffic-enforcement-project-results-released/,2.3139660238014494
loss,member,https://www.kfornow.com/two-former-officers-reject-plea-deal-in-george-floyd-killing/,0.3834488198699296
loss,member,https://www.kfornow.com/terminal-at-the-lincoln-airport-back-open-after-evacuation/,2.07222382193734
loss,member,https://www.kfornow.com/lpd-social-media-post-about-serial-killer-is-fake/,2.59222392268476
loss,member,https://www.kfornow.com/in-big-bid-to-punish-moscow-eu-bans-most-russia-oil-imports/,0.030936282095789434
loss,member,https://www.kfornow.com/cheese-sold-in-ne-recalled/,0.8441896149459794
loss,member,https://www.kfornow.com/nasas-new-telescope-shows-star-death-dancing-galaxies/,0.048555427775873405
loss,member,https://www.kfornow.com/portion-of-lincoln-mall-to-close-august-8/,2.03769437322259
loss,member,https://www.kfornow.com/huskers-down-spartans-on-senior-day-still-fail-to-qualify-for-big-ten-tournament/,1.6846896424993938
loss,member,https://www.kfornow.com/nebraska-mens-basketball-huskers-announce-non-conference-schedule/,2.0364070714423135
loss,member,https://www.kfornow.com/lifeline-awareness-week-highlights-national-telephone-internet-discount/,2.4500342549290566
loss,member,https://www.kfornow.com/ncbb-lpd-and-lfr-encourage-you-to-donate-blood-on-friday/,2.3833497332556535
loss,member,https://www.kfornow.com/rule-change-for-oscars/,0.6004523827192616
loss,member,https://www.kfornow.com/gunman-kills-2-during-oslo-pride-festival-terror-suspected/,0.06121055892137439
loss,member,https://www.kfornow.com/les-warns-you-about-another-scam-demanding-money-for-overdue-utility-bills/,1.8485619554711958
loss,member,https://www.kfornow.com/police-say-at-least-3-shot-active-threat-in-northwest-d-c/,0.10118302260508466
loss,member,https://www.kfornow.com/russia-to-drop-out-of-international-space-station-after-2024/,0.36448635851839706
loss,member,https://www.kfornow.com/president-biden-announces-program-offering-discounted-internet-service/,0.287059270962551
loss,member,https://www.kfornow.com/breaking-news-donald-trump-coming-to-ne-for-herbster/,1.5952885510488137
loss,member,https://www.kfornow.com/2915053-2/,2.445023886223909
loss,member,https://www.kfornow.com/saltdogs-baseball-lincoln-comes-up-short-in-opener-with-cleburne/,2.1033761648783673
loss,member,https://www.kfornow.com/police-say-missing-child-has-been-found-safe-and-sound/,2.2000981686453867
loss,member,https://www.kfornow.com/lpds-narcotics-unit-arrests-two-people-in-ongoing-drug-investigation/,2.337086590073184
loss,member,https://www.kfornow.com/portion-of-randolph-street-to-close-august-15/,2.175352797238743
loss,member,https://www.kfornow.com/15-year-old-girl-stabbed-to-death-at-california-high-school/,0.6830440916200579
loss,member,https://www.kfornow.com/survey-focuses-on-downtown-streetscapes/,2.1137647978101723
loss,member,https://www.kfornow.com/epa-proposes-bellevue-nebraska-site-for-addition-to-superfund-national-priorities-list/,2.2990307920546607
loss,member,https://www.kfornow.com/husker-mens-basketball-mayen-signs-professional-contract-in-australia/,1.7703500685654334
loss,member,https://www.kfornow.com/pro-choice-rally-outside-of-hall-of-justice-in-downtown-lincoln/,2.0621876302031463
loss,member,https://www.kfornow.com/lpd-cruiser-involved-in-a-crash-early-thursday/,2.200684391425933
loss,member,https://www.kfornow.com/lincoln-woman-fires-warning-shots-as-man-tries-to-steal-her-trailer/,2.0548798750979755
loss,member,https://www.kfornow.com/2022-tour-de-lincoln-bike-tour-dates-set/,2.654441965697782
loss,member,https://www.kfornow.com/a-variety-of-covid-19-vaccination-clinics-scheduled-in-lancaster-county/,1.272105800831326
loss,member,https://www.kfornow.com/fugitive-inmate-captured-after-manhunt-former-jail-officer-dead/,0.02573830233285989
loss,member,https://www.kfornow.com/nwu-baseball-lincoln-native-kolbush-signs-pro-contract-with-great-falls-of-pioneer-league/,1.8876881260072738
loss,member,https://www.kfornow.com/man-suffers-gun-shot-wound-during-confrontation-early-thursday-at-cooper-park/,2.0317347128723875
loss,member,https://www.kfornow.com/elon-musk-says-hes-terminating-twitter-deal/,0.4005470742900905
loss,member,https://www.kfornow.com/reports-the-phantom-of-the-opera-to-close-on-broadway/,0.6831884347427079
loss,member,https://www.kfornow.com/man-stabbed-friday-morning-in-downtown-lincoln/,2.0001249882623884
loss,member,https://www.kfornow.com/gov-trooper-wounded-in-maryland-shooting-multiple-victims/,0.12845217130710404
loss,member,https://www.kfornow.com/husker-womens-basketball-team-is-ready-for-loaded-big-ten-schedule/,1.9279495895480756
loss,member,https://www.kfornow.com/burglary-at-nw-lincoln-grocery-store-under-investigation/,2.364059949926881
loss,member,https://www.kfornow.com/at-least-53-people-shot-7-fatally-in-weekend-violence/,2.3870591067506157
loss,member,https://www.kfornow.com/union-claims-unl-contractors-using-off-the-books-laborers/,2.9339089778722403
loss,member,https://www.kfornow.com/covid-19-report-remains-near-weekly-average/,1.018319307533111
loss,member,https://www.kfornow.com/governor-ricketts-declares-may-29-as-national-529-day-in-nebraska/,2.076071016990005
loss,member,https://www.kfornow.com/china-conducts-precision-missile-strikes-in-taiwan-strait/,0.03279154447918267
loss,member,https://www.kfornow.com/new-larger-habitat-restore-to-open-saturday/,2.2747427076135027
loss,member,https://www.kfornow.com/governor-signs-metro-revitalization-bill/,2.2116161040583227
loss,member,https://www.kfornow.com/wnba-star-brittney-griner-ordered-to-trial-friday-in-russia/,0.03394132466732759
loss,member,https://www.kfornow.com/husker-football-thompson-named-to-watch-list-for-unitas-award/,1.760613609066778
loss,member,https://www.kfornow.com/farm-bureau-endorses-flood-in-1st-district-congressional-race/,1.8900744354672665
loss,member,https://www.kfornow.com/nearly-half-of-states-now-recognize-juneteenth-as-official-holiday/,2.265186323835214
loss,member,https://www.kfornow.com/biden-pardons-former-secret-service-agent-and-2-others/,0.01311292288608046
loss,member,https://www.kfornow.com/carter-promises-new-model-for-higher-education/,2.302519011368363
loss,member,https://www.kfornow.com/2914082-2/,2.4312344766863765
loss,member,https://www.kfornow.com/local-governments-turn-away-73m-of-federal-pandemic-aid/,1.6404654634474265
loss,member,https://www.kfornow.com/aces-place-playground-honors-late-child-at-bowlin-stadium/,2.4725584883256237
loss,member,https://www.kfornow.com/week-3-high-school-football-scores/,2.144696573790007
loss,member,https://www.kfornow.com/arrest-made-in-connection-with-sacramento-mass-shooting/,0.031035358083159704
loss,member,https://www.kfornow.com/bidens-effort-to-save-distressed-nuclear-plants/,1.736306979579763
loss,member,https://www.kfornow.com/motorcyclist-killed-monday-evening-in-north-lincoln-crash/,1.4764477095898618
loss,member,https://www.kfornow.com/rollover-crash-early-wednesday-near-downtown-lincoln/,1.8266743114197512
loss,member,https://www.kfornow.com/special-grand-jury-selected-for-probe-into-former-president-trumps-election-actions-in-georgia/,0.3521146224100865
loss,member,https://www.kfornow.com/gov-ricketts-blasts-biden-administrations-attack-on-title-ix-discrimination-against-women/,2.193198321162081
loss,member,https://www.kfornow.com/city-urges-caution-around-street-projects-near-schools/,2.5157784777619403
loss,member,https://www.kfornow.com/elon-musk-says-he-would-reverse-twitters-ban-of-former-president-trump/,0.18378355496801704
loss,member,https://www.kfornow.com/special-legislative-session-to-overturn-abortion-in-nebraska-may-be-called/,1.5968339299603538
loss,member,https://www.kfornow.com/u-s-pulls-gsks-covid-drug-because-it-doesnt-work-against-new-variant/,0.4356682910368405
loss,member,https://www.kfornow.com/volunteers-needed-for-rose-garden-cleanup-april-9/,2.695645630639088
loss,member,https://www.kfornow.com/meier-foundation-announces-multimillion-dollar-gift-for-nu-scholarships/,2.406294607725265
loss,member,https://www.kfornow.com/deputies-continue-investigating-a-recent-rash-of-catalytic-converter-thefts/,2.713366821328348
loss,member,https://www.kfornow.com/50-migrants-die-in-trailer-abandoned-in-san-antonio-heat/,0.06074221623053182
loss,member,https://www.kfornow.com/famed-filmmaker-wolfgang-petersen-dies/,0.20232672982998479
loss,member,https://www.kfornow.com/two-street-closures-begin-september-19th/,1.9599649797139835
loss,member,https://www.kfornow.com/man-found-with-stolen-gun-during-traffic-stop/,2.4130229034288604
loss,member,https://www.kfornow.com/nsaa-class-a-boys-and-girls-district-soccer-pairings/,1.244166406083539
loss,member,https://www.kfornow.com/mariners-down-angels-6-3/,0.0443500753832697
loss,member,https://www.kfornow.com/president-biden-to-deliver-prime-time-address-on-battle-for-democracy/,0.5449346083188786
loss,member,https://www.kfornow.com/angels-theatre-company-to-resume-first-flight-festival/,2.7047599426022026
loss,member,https://www.kfornow.com/armed-man-approaches-fbi-office-exchanges-gunfire-with-cops/,0.07967083775007981
loss,member,https://www.kfornow.com/trail-trek-celebrates-20-years-2/,2.637182737716253
loss,member,https://www.kfornow.com/deputies-identify-driver-killed-in-tuesday-afternoon-crash/,1.550163609188955
loss,member,https://www.kfornow.com/house-votes-to-restore-abortion-rights-senate-odds-dim/,0.23989588942551182
loss,member,https://www.kfornow.com/feds-interview-deadly-supermarket-shooting-suspects-parents/,0.5221629004300817
loss,member,https://www.kfornow.com/lead-safe-lincoln-initiative-launched/,2.1861449933317854
loss,member,https://www.kfornow.com/coroner-ids-6-people-killed-in-sacramento-mass-shooting/,0.03825959995078555
loss,member,https://www.kfornow.com/warren-buffetts-firm-buys-more-occidental-petroleum-shares/,0.2873257772241348
loss,member,https://www.kfornow.com/hy-vee-and-local-first-responders-giveaway-250-hams-in-lincoln/,2.4173525249526744
loss,member,https://www.kfornow.com/the-rolling-stones-postpone-concert-after-mick-jagger-comes-down-with-covid/,0.3175189810183181
loss,member,https://www.kfornow.com/ne-gov-pete-ricketts-issues-memorial-day-statement/,1.967432599053587
loss,member,https://www.kfornow.com/allo-and-the-mill-bring-back-summer-concerts-to-telegraph-district/,2.567807861536651
loss,member,https://www.kfornow.com/vehicle-hits-entrance-to-southeast-lincoln-medical-office/,2.3924169295440243
loss,member,https://www.kfornow.com/bbb-warning-baby-formula-shortage-leads-to-potential-scams/,2.117640571430431
loss,member,https://www.kfornow.com/husker-mens-basketball-tommy-named-director-of-player-development/,2.2068181030176506
loss,member,https://www.kfornow.com/us-inflation-hit-8-3-last-month-but-slows-from-40-year-high/,0.036697850681862224
loss,member,https://www.kfornow.com/high-school-football-preview-lincoln-east/,2.0911764616423545
loss,member,https://www.kfornow.com/actor-james-caan-dead-at-82/,0.4696466857397828
loss,member,https://www.kfornow.com/break/,2.1113311517619344
loss,member,https://www.kfornow.com/subject-in-custody-following-incident-at-i-80-speedway/,2.187191822917566
loss,member,https://www.kfornow.com/lps-hosts-fast-track-hiring-day-for-bus-drivers-and-paras/,2.420236025350247
loss,member,https://www.kfornow.com/lincoln-city-council-chair-cited-for-dui-following-injury-crash/,2.19650261520531
loss,member,https://www.kfornow.com/fed-unleashes-another-big-rate-hike-in-bid-to-curb-inflation/,0.041937594502013724
loss,member,https://www.kfornow.com/albuquerque-police-detain-suspect-in-killing-of-4-muslim-men/,0.027399740695779683
loss,member,https://www.kfornow.com/big-volleyball-weekend-ahead/,2.008665661946853
loss,member,https://www.kfornow.com/catalytic-converter-thieves-target-two-lincoln-car-dealerships/,1.9550498259253604
loss,member,https://www.kfornow.com/judge-rules-senator-lindsey-graham-must-testify-in-georgia-election-probe/,0.4920431393382783
loss,member,https://www.kfornow.com/lpd-arrests-two-people-for-making-threats-possessing-drugs/,2.3989494950580013
