method,membership,doc_id,score
loss,member,https://www.technicianonline.com/sports/hurricanes-defend-home-ice-take-3-2-series-lead-over-bruins/article_ccb9da48-d0d3-11ec-a448-e76ae97b3916.html,2.3102376664051434
loss,member,https://www.technicianonline.com/sports/icepack-hockey-season-preview-lots-of-change-same-winning-culture/article_bdbe6b0c-2e58-11ed-aa6b-77fc588383b1.html,2.674101180675768
loss,member,https://www.technicianonline.com/sports/column-nc-state-football-s-conference-future-without-the-acc/article_b79ba268-0625-11ed-b743-072bb8934660.html,2.6025644496750235
loss,member,https://www.technicianonline.com/culture/elvis-butler-crowned-king/article_6dc67a74-f643-11ec-a669-df35006e4ee2.html,2.6360203948677574
loss,member,https://www.technicianonline.com/sports/nc-state-baseball-smoked-by-virginia-tech-21-10-in-series-opener/article_e9eed484-b7b4-11ec-bddb-3f91567e4845.html,1.5847634729561992
loss,member,https://www.technicianonline.com/culture/ali-drucker-s-latest-book-empowers-college-aged-women-by-combating-stigma-around-sex/article_ab072036-3483-11ed-a8f8-5f601dd2ce29.html,2.6060064422023688
loss,member,https://www.technicianonline.com/culture/north-carolina-museum-of-art-hosts-valuable-college-programs/article_1886de88-ba01-11ec-8cb2-1b1dfebb2649.html,2.3807915329290923
loss,member,https://www.technicianonline.com/sports/the-walk-off-wolfpack-fielding-errors-and-more-baseball-takeaways/article_fcfae456-bf79-11ec-b2e4-530a6dd61ad8.html,2.340757504580965
loss,member,https://www.technicianonline.com/news/chancellor-woodson-highest-paid-in-nation-in-2021-donated-1-5-million-to-nc-state/article_5ead9ee4-33c6-11ed-bfaf-138b13ebdb5e.html,2.470269562992276
loss,member,https://www.technicianonline.com/sports/wolfpack-offense-thrives-in-blowout-win-against-charleston-southern/article_6b09df42-32fc-11ed-9f64-5720a161fa0c.html,2.379097581294802
loss,member,https://www.technicianonline.com/sports/durden-looks-to-replicate-2021-success-after-life-changing-transfer-to-nc-state/article_75b58f0e-28e8-11ed-983e-0bba04d3cc3b.html,2.160723647565369
loss,member,https://www.technicianonline.com/sports/carter-finley-stadium-to-receive-improvements-after-5-million-donation-from-townebank/article_b20ae838-fd77-11ec-b6c0-afac5d5f0b44.html,2.5706490030371594
loss,member,https://www.technicianonline.com/sports/canes-clipped-by-islanders-in-stunning-2-1-loss/article_08d55192-b7b6-11ec-a868-bf2baf65a1d5.html,2.1160522171385416
loss,member,https://www.technicianonline.com/sports/nc-state-women-s-soccer-ties-no-11-georgetown-2-2-in-heated-match/article_fda7af44-2746-11ed-b9b7-172e595d9595.html,2.1923112105364595
loss,member,https://www.technicianonline.com/opinion/opinion-north-carolina-s-legislature-is-failing-its-educators/article_8a1076b4-28d2-11ed-9a17-efda69197523.html,2.9952993866349322
loss,member,https://www.technicianonline.com/culture/hispanic-latinx-heritage-month-tunes-to-celebrate/article_78702150-33ce-11ed-9b10-83bac44a5544.html,2.805779020408621
loss,member,https://www.technicianonline.com/sports/nc-state-softball-comes-back-to-beat-louisville-7-5-for-patrick-swift-s-100th/article_ce4837e6-b225-11ec-9739-43967be92fb6.html,1.9532994068224183
loss,member,https://www.technicianonline.com/opinion/letter-from-the-ex-editor-turn-it-into-love-be-thankful-for-what-you-ve/article_698ae3f6-bf8d-11ec-ba9a-3bdae365f25e.html,3.095381863987163
loss,member,https://www.technicianonline.com/sports/wolfpack-track-and-field-racks-up-plethora-of-personal-bests-at-duke-invitational/article_0a287e12-b850-11ec-8b48-57c0a4f157d2.html,2.2668834669370765
loss,member,https://www.technicianonline.com/sports/hurricanes-close-out-postseason-with-6-2-loss-against-rangers-in-game-seven/article_782458cc-e092-11ec-a4d1-9fd1ad79e635.html,2.365085506159921
loss,member,https://www.technicianonline.com/sports/hurricanes-scrape-out-overtime-win-against-rangers-in-game-one-of-series/article_596eaac8-d71d-11ec-8d99-3bf9c75f5755.html,2.37515884784294
loss,member,https://www.technicianonline.com/news/nc-state-s-solar-car-team-breaks-speed-record/article_44dcc800-0bb7-11ed-b2ff-ef00332e2762.html,2.6779742352721723
loss,member,https://www.technicianonline.com/sports/nc-state-women-s-soccer-stifled-by-harvard-in-first-loss-of-season/article_bdf12d40-2c90-11ed-b9f8-a311607da078.html,2.286218926721748
loss,member,https://www.technicianonline.com/opinion/wellness-wednesdays-chasing-z-s-better-sleep-hygiene/article_c4e0f908-bb7c-11ec-b0e9-eff96d382e59.html,2.6895372674984745
