method,membership,doc_id,score
loss,member,https://www.wpcv.com/2022/06/09/national-treasure-or-not/,1.9660146177257087
loss,member,https://www.wpcv.com/2022/09/12/class-of-the-day-sep-9th/,3.0104284568758244
loss,member,https://www.wpcv.com/2022/05/18/who-eats-a-room-temp-sammy/,1.9021589744122525
loss,member,https://www.wpcv.com/2022/06/03/can-you-spell-toe/,1.8901696086458442
loss,member,https://www.wpcv.com/2022/04/21/kids-do-the-darndest-things/,1.8599972295209277
loss,member,https://www.wpcv.com/2022/05/16/unwritten-man-rules/,1.8760094681848776
loss,member,https://www.wpcv.com/2022/06/08/could-you-keep-this-secret/,1.7954260019988868
loss,member,https://www.wpcv.com/2022/07/13/old-ala-ham-a/,1.9550131005584068
loss,member,https://www.wpcv.com/2022/09/16/class-of-the-day-mrs-chaviras-2nd-grade-class/,3.2068245518322596
loss,member,https://www.wpcv.com/2022/07/12/grady-judd-is-back/,1.8186461381667383
loss,member,https://www.wpcv.com/2022/07/12/potsie-2022/,1.9846924603747176
loss,member,https://www.wpcv.com/2022/04/19/giving-her-your-paycheck/,1.9110547695051892
loss,member,https://www.wpcv.com/2022/09/14/class-of-the-day-mrs-hendrixs-1st-grade-class/,3.209369636363776
loss,member,https://www.wpcv.com/2022/06/06/so-kanga-rude/,1.929460858904535
loss,member,https://www.wpcv.com/2022/06/15/the-grady-judd-collection/,1.6380420998874412
loss,member,https://www.wpcv.com/2022/06/17/worst-sports-to-play-nekkid/,1.8138018489196224
loss,member,https://www.wpcv.com/2022/06/23/frank-n-beans/,1.8422232447721543
loss,member,https://www.wpcv.com/2022/05/23/dj-jon-feel-the-pain/,1.9471910304401743
loss,member,https://www.wpcv.com/2022/07/18/hey-white-liar/,1.6913838268850516
loss,member,https://www.wpcv.com/2022/07/13/burglar-of-inconvenience/,1.7773072460026524
loss,member,https://www.wpcv.com/2022/07/12/grandmas-dating-rules/,1.8918467602089173
loss,member,https://www.wpcv.com/2022/08/15/1880/,1.666039504556474
loss,member,https://www.wpcv.com/2022/07/13/martha-stewart-wants-her-friends-to-die-so-she-can-date-their-husbands/,4.91046465356582
loss,member,https://www.wpcv.com/2022/04/07/sheriff-grady-judd-talks-sun-n-fun/,1.9352609392525357
loss,member,https://www.wpcv.com/2022/06/07/florida-man-strikes-again/,1.8254646528181242
loss,member,https://www.wpcv.com/2022/05/13/its-a-small-hurl-afterall/,1.844902153200799
loss,member,https://www.wpcv.com/2022/06/22/bad-goody-bag/,1.63233082594272
loss,member,https://www.wpcv.com/2022/06/02/she-licked-the-cream-cheese-off-her-dentures/,1.98543583504708
loss,member,https://www.wpcv.com/2022/07/11/he-wants-to-crash-the-wedding-hotel-room/,1.9302200090718062
loss,member,https://www.wpcv.com/2022/04/25/welcome-to-smush-gardens/,1.8852848348093185
loss,member,https://www.wpcv.com/2022/09/13/class-of-the-day-sep-13th/,3.1493372342574513
loss,member,https://www.wpcv.com/2022/05/23/nature-grandpa-woo/,1.8687656432176756
loss,member,https://www.wpcv.com/2022/05/13/you-can-tee-tee-on-command/,1.8767616066941306
loss,member,https://www.wpcv.com/2022/04/07/she-swallowed-what/,1.8632620149882733
loss,member,https://www.wpcv.com/2022/06/16/what-did-you-inherit-from-dad/,1.641705050077933
loss,member,https://www.wpcv.com/2022/04/27/auntie-anne-anti-jons/,1.8590178290792667
loss,member,https://www.wpcv.com/2022/07/15/he-wears-his-sisters-jeans/,1.6864935908363896
loss,member,https://www.wpcv.com/2022/07/19/can-we-thank-him-for-that/,1.6425461437346858
loss,member,https://www.wpcv.com/2022/04/20/netflix-with-ads/,1.8918474525723414
loss,member,https://www.wpcv.com/2022/07/11/exclusive-premier-of-luke-bryans-new-single/,1.886623151406338
loss,member,https://www.wpcv.com/2022/04/27/julie-hoards-what/,1.8930799597755852
loss,member,https://www.wpcv.com/2022/05/24/do-you-tip-the-beer-guy/,1.850052425642297
loss,member,https://www.wpcv.com/2022/05/19/is-jons-relationship-toast/,1.9448057941236985
loss,member,https://www.wpcv.com/2022/06/24/grandpa-alexa/,1.8480078474440065
loss,member,https://www.wpcv.com/2022/04/07/always-return-your-tupperware/,1.8752425813029407
loss,member,https://www.wpcv.com/2022/04/28/stink-sells/,5.907763544337025
loss,member,https://www.wpcv.com/2022/07/13/he-fell-into-a-volcano/,1.8639324307696692
loss,member,https://www.wpcv.com/2022/05/02/bare-butt-on-a-tin-roof/,5.009884085209871
loss,member,https://www.wpcv.com/2022/09/15/class-of-the-day-ms-gortheys-5th-grade-class/,3.2652474498472124
loss,member,https://www.wpcv.com/2022/04/07/she-flipped-them-off-after-church/,1.9492912954237689
loss,member,https://www.wpcv.com/2022/06/27/the-king-of-snowflake-mountain/,1.8231625201869859
loss,member,https://www.wpcv.com/2022/06/22/i-aint-dating-his-daughter/,1.6339968575252724
loss,member,https://www.wpcv.com/2022/04/07/asking-the-tough-questions-with-the-thunderbird/,1.963921249880222
loss,member,https://www.wpcv.com/2022/04/29/toilet-chili/,1.674298982613397
loss,member,https://www.wpcv.com/2022/04/22/jet-black-blue/,1.7903104845207574
loss,nonmember,https://www.wpcv.com/2022/06/09/national-treasure-or-not/,1.9660146177257087
loss,nonmember,https://www.wpcv.com/2022/09/12/class-of-the-day-sep-9th/,3.0104284568758244
loss,nonmember,https://www.wpcv.com/2022/05/18/who-eats-a-room-temp-sammy/,1.9021589744122525
loss,nonmember,https://www.wpcv.com/2022/06/03/can-you-spell-toe/,1.8901696086458442
loss,nonmember,https://www.wpcv.com/2022/04/21/kids-do-the-darndest-things/,1.8599972295209277
loss,nonmember,https://www.wpcv.com/2022/05/16/unwritten-man-rules/,1.8760094681848776
loss,nonmember,https://www.wpcv.com/2022/06/08/could-you-keep-this-secret/,1.7954260019988868
loss,nonmember,https://www.wpcv.com/2022/07/13/old-ala-ham-a/,1.9550131005584068
loss,nonmember,https://www.wpcv.com/2022/09/16/class-of-the-day-mrs-chaviras-2nd-grade-class/,3.2068245518322596
loss,nonmember,https://www.wpcv.com/2022/07/12/grady-judd-is-back/,1.8186461381667383
loss,nonmember,https://www.wpcv.com/2022/07/12/potsie-2022/,1.9846924603747176
loss,nonmember,https://www.wpcv.com/2022/04/19/giving-her-your-paycheck/,1.9110547695051892
loss,nonmember,https://www.wpcv.com/2022/09/14/class-of-the-day-mrs-hendrixs-1st-grade-class/,3.209369636363776
