method,membership,doc_id,score
loss,member,https://www.travelagentcentral.com/cruises/virgin-voyages-expands-sales-team-footprint-north-america,0.10136898986786166
loss,member,https://www.wspa.com/news/business/ap-business/french-medics-protest-hospital-crisis-deepened-by-covid/,0.07500837781755372
loss,member,https://tribuneonlineng.com/first-batch-of-niger-state-pilgrims-departs-for-saudi-arabia/,1.5914745477685845
loss,member,https://www.oprahdaily.com/entertainment/books/a39716336/lauren-groff-junket-story/,3.0724464233300885
loss,member,https://www.local3news.com/regional-national/ocasio-cortez-wont-commit-to-backing-biden-in-2024-well-cross-that-bridge-when-we/article_9d689dd3-c8b9-5d3a-ac8a-91d46fc58e96.html,0.736719830246952
loss,member,https://www.wspa.com/news/state-news/scdnr-welcomes-new-k9-puppy-hank/,2.1245376508095366
loss,member,https://www.insidenova.com/headlines/gop-s-van-meter-enters-33rd-senate-district-race/article_17a75006-0c63-11ed-8b43-57e7ed0b15f6.html,2.314588919680502
loss,member,https://www.klcc.org/2022-05-16/buffalo-shooting-victim-roberta-drury-was-at-the-supermarket-to-get-food-for-dinner,0.5573436146744558
loss,member,https://www.41nbc.com/macon-resident-opens-long-term-care-facility-to-address-certified-nurse-aide-need/,2.4141123988751203
loss,member,https://www.dvidshub.net/image/7157456/great-texas-air-show-2022,0.23507568087341843
loss,member,https://www.pasadenastarnews.com/2022/08/10/heres-why-these-duarte-high-school-students-are-super-positive/,1.9879873363912468
loss,member,https://www.kcur.org/tags/monkeypox,0.1768601927201823
loss,member,https://www.fox32chicago.com/news/suspect-wanted-in-hit-and-run-that-killed-bicyclist-in-chicagos-east-side-neighborhood,1.1868794515370604
loss,member,https://www.onmanorama.com/sports/cricket/2022/05/08/was-not-reated-properly-gayle-on-opting-out-of-ipl-2022.amp.html,1.3886456902692037
loss,member,https://www.siouxlandproud.com/reviews/br/camping-outdoors-br/tents-br/best-6-person-tent/,0.07039347107790701
loss,member,https://www.kentlive.news/news/kent-news/canterbury-ex-gurkha-soldier-hopes-7489190,2.4043878917951367
loss,member,https://www.wwlp.com/news/local-news/bullard-tavern-sign-replaced-within-old-sturbridge-village/,2.5822383616100386
loss,member,https://www.kentlive.news/news/kent-news/police-officer-suffers-serious-injuries-7437580,2.2481369758855525
loss,member,https://www.fox17online.com/news/morning-news/birthday-shoutouts/birthday-shoutouts-ryker-antonio-lily-apr-16,0.2949017237172782
loss,member,https://www.scotsman.com/lifestyle/food-and-drink/jubilee-weekend-supermarket-food-offerings-the-treats-and-fails-3716237,3.4543683549040445
loss,member,https://www.kswo.com/prnewswire/2022/05/16/pareteum-use-voluntary-chapter-11-process-facilitate-efficient-sale-process-position-business-long-term-success-company-maintain-operations-usual/,0.07754469218147333
loss,member,https://www.vanityfair.com/hollywood/2022/05/our-overwhelming-wonderful-age-of-television-awards-insider,3.4312804384671045
loss,member,https://www.yesweekly.com/real_estate/ivana-donald-trump-s-first-mansion/article_7b00b492-0927-11ed-a162-0fc40cec237c.html,2.8539972740575696
loss,member,https://www.dvidshub.net/image/7172316/navy-musicians-work-with-students-massillon-ohio,1.5166937600659514
loss,member,https://www.tipranks.com/news/article/why-wendys-stock-fell-1-75-after-its-earnings-report/,2.477958824704395
loss,member,https://www.insideedition.com/washington-state-creates-1st-alert-system-for-missing-indigenous-people-74161,1.8905848703309274
loss,member,https://www.zanesvilletimesrecorder.com/story/news/local/2022/06/03/public-records-muskingum-county-real-estate-transfers/9923133002/,3.0653183686275494
loss,member,https://www.lockportjournal.com/community/e-recycling-collection-slated-for-saturday-at-fashion-outlets/article_6290eddc-354b-11ed-b283-b72967d2fb7f.html,2.8093423941673863
loss,member,https://wcel.nwaonline.com/news/2022/aug/24/junior-cardinals-join-new-football-league/,2.816926610126226
loss,member,https://www.wave3.com/prnewswire/2022/09/09/catholic-charities-caritas-village-modern-solution-homelessness/,0.14017669077811262
loss,member,https://www.fox17online.com/news/jordan-peeles-nope-debuts-at-no-1-with-44-million,0.10066804461985729
loss,member,https://www.fox32chicago.com/news/judge-tells-illinois-woman-she-failed-her-moral-duties-as-a-mother-after-her-11-year-old-child-dies,2.350681654678663
loss,member,https://www.wpri.com/news/us-and-world/live-updates-ukraine-reports-more-airstrikes-on-azovstal/,0.04100547756916597
loss,member,https://www.kentlive.news/news/nostalgia/5-lost-clubs-gave-people-6913283,3.1527440585555726
loss,member,https://www.kswo.com/prnewswire/2022/07/08/new-contract-puts-bay-area-transit-agencies-trackfor-common-system-maps-signs-digital-displays/,0.35638083497716766
loss,member,https://www.dnj.com/story/sports/high-school/2022/09/04/vote-murfreesboro-area-high-school-boys-athlete-week/7906354001/,1.9079101805189482
loss,member,https://www.wpri.com/news/us-and-world/spain-honors-penelope-cruz-for-contribution-to-cinema/,0.17282778645064553
loss,member,https://www.ninersnation.com/2022/8/19/23312632/49ers-news-trey-lance-nick-bosa-sacks-high-school-team-vikings-minnesota-joint-practice-reports-nfl,2.6025929184935293
loss,member,https://www.dvidshub.net/image/7168731/coast-guard-good-samaritan-assist-4-aboard-vessel-near-galveston-texas,1.6750638761462446
loss,member,https://www.oprahdaily.com/life/health/a41056604/how-to-renew-your-motivation-martha-beck/,2.8264107622318306
loss,member,https://www.exploreclarion.com/2022/09/12/sponsored-west1-park-rehab-explains-the-advantages-of-using-diagnostic-ultrasound/,2.4007904975736696
loss,member,https://www.kentlive.news/news/kent-news/port-dover-ferry-crossing-times-7386044,2.4920935321103186
loss,member,https://www.dvidshub.net/image/7133004/sfr,1.2019289571288865
loss,member,https://www.klcc.org/npr-news/2022-05-31/denmark-will-hold-a-referendum-on-eu-defense-amid-ukraine-war,0.04255605559569309
loss,member,https://www.speedwaydigest.com/index.php/news/nascar-cup-series-news/73073-transcript-tyler-reddick-frontstretch-interview-bristol-motor-speedway,2.6764493658472572
loss,member,https://www.fox32chicago.com/news/man-critically-wounded-in-gresham-shooting,0.9916606004512828
loss,member,https://www.courthousenews.com/how-free-is-freetown-christiania-the-sovereign-danish-community-is-once-again-on-its-barricades/,3.2071798163534795
loss,member,https://www.witn.com/prnewswire/2022/06/28/modak-will-present-16th-annual-mit-chief-data-officer-information-quality-symposium/,0.7736886032562824
loss,member,https://www.forexlive.com/Cryptocurrency/bitcoin-falls-to-the-lowest-level-since-may-29-20220610/,3.069707169067012
loss,member,https://www.wtxl.com/news/national/surging-demand-for-bug-spraying-is-hurting-other-animals,0.4238708648225433
loss,member,https://www.vanityfair.com/style/2022/08/death-of-an-artist-podcast-trailer-interview,2.8044770326575543
loss,member,https://www.dvidshub.net/news/427108/michigan-ang-joint-and-ally-partners-achieve-ace-milestone-during-northern-agility-22-2,2.5739646069235413
loss,member,https://www.nbcrightnow.com/news/top-5-most-annoying-airline-behaviors/article_6e2a9d04-3830-11ed-be6d-e38d81973c93.html,2.4931320899872156
loss,member,https://www.witn.com/prnewswire/2022/08/04/great-panther-reports-second-quarter-2022-financial-results/,0.12404438265499843
loss,member,https://www.siouxlandproud.com/news/international/tribal-leaders-members-react-to-popes-apology-on-schools/,0.08164115285847023
loss,member,https://www.mycentraljersey.com/story/news/local/somerset-county/2022/07/25/liv-golf-donald-trump-9-11-bedminster-nj/65380182007/,2.1360195949208816
loss,member,https://www.wspa.com/news/business/ap-business/asian-stock-markets-rise-ahead-of-us-jobs-data/,0.02880822188617962
loss,member,https://www.siouxlandproud.com/news/international/russia-strikes-kyiv-as-troops-consolidate-gains-in-the-east/,0.027166296224603342
loss,member,https://www.local3news.com/regional-national/california-authorities-search-for-suspects-in-sikh-temple-shooting/article_880d4257-8edc-5780-b8d2-c4cfbe34f074.html,1.3674488025244977
loss,member,https://www.local3news.com/regional-national/a-12-year-old-boy-was-shot-dead-while-eating-in-a-car-in-new/article_672a6cef-f708-5ece-ae29-12ed83df7dec.html,2.028256207989181
loss,member,https://www.wtxl.com/news/national/fedex-warns-of-slowdown-fears-stock-drops-during-wall-street-trading,2.171064275180002
loss,member,https://tribuneonlineng.com/father-of-texas-school-shooting-victim-slams-cops-for-letting-gunman-rampage-for-90minutes/,0.939839431021695
loss,member,https://speedwaydigest.com/index.php/news/speedway-news/71880-taylor-doubles-up-bennett-memorial,2.4951187087986244
loss,member,https://www.vanityfair.com/hollywood/2022/06/neve-campbell-is-skipping-scream-6,1.208354903150925
loss,member,https://www.tipranks.com/news/corporation-tax-becomes-battleground-for-candidates-in-britains-leadership-race/,2.3160786129227757
loss,member,https://www.insideedition.com/georgia-coroner-finds-his-parents-and-his-teenage-son-shot-to-death-inside-family-business-74304,1.8084068838240728
loss,member,https://www.wspa.com/entertainment-news/ap-entertainment/alyssa-farah-griffin-ana-navarro-join-the-view-as-cohosts/,0.02506962520486987
loss,member,https://tribuneonlineng.com/bullish-sentiments-persist-at-ngx-as-equities-investors-gain-n1bn/,1.3210359025986644
loss,member,https://www.yakimaherald.com/sports/sports_watch/local-report-yakima-valley-soccer-wins-third-straight/article_a2e5ec6a-2f1b-11ed-a2fd-27578c32d19d.html,2.301326501009863
loss,member,https://www.courthousenews.com/eu-lawmakers-support-ban-of-goods-linked-to-deforestation/,0.15319085431121246
loss,member,https://www.stlamerican.com/news/local_news/branching-out/article_db232b40-fe21-11ec-9901-0b2809e01197.html,2.6236618810961905
loss,member,https://www.wboc.com/news/mega-millions-jackpot-over-1-billion-for-second-time/article_945f4a00-0f91-11ed-b62f-b7b19e424fc1.html,2.6611217726529
loss,member,https://www.afar.com/authors/chloe-arrojado,3.139395646074216
loss,member,https://www.vanityfair.com/news/2022/07/tom-cotton-iowa-pizza,2.602971621709988
loss,member,https://www.wpri.com/reviews/best-asics-running-shoes/,0.018012796917558048
loss,member,http://www.timescitizen.com/kifg/eldora-wastewater-discharge-prompts-dnr-warning/article_83b4ce3c-e1ba-11ec-8661-5f357293fa51.html,2.6959931657398117
loss,member,https://www.wpri.com/automotive/nissan-design-boss-car-design-has-become-inverted-nissan-thinking-about-electric-pickup/,0.7343508814831095
loss,member,https://www.kentlive.news/news/uk-world-news/co-op-morrisons-tesco-asda-7539864,1.165100940734537
loss,member,https://www.siouxlandproud.com/news/nebraska-news/watch-live-gov-ricketts-to-sign-bills-to-protect-develop-water-resources/,1.1530865010467064
loss,member,https://www.wmagazine.com/fashion/maude-iris-apatow-leslie-mann-louis-vuitton-resort,2.563629083233504
loss,member,https://www.local3news.com/regional-national/jeffrey-clark-told-dc-bar-that-doj-search-of-his-home-linked-to-false-statements/article_84dfcb44-c235-5b1f-b87e-19ba87f3f19b.html,2.1825790613852414
loss,member,https://nypost.com/2022/09/23/gov-hochul-lee-zeldin-battle-for-business-leaders-at-ny-state-conference/,2.6535267640013775
loss,member,https://www.wtxl.com/news/national/scientists-may-have-found-a-prevention-for-food-allergies-but-the-pill-tastes-and-smells-awful,0.7288566979469443
loss,member,https://www.fergusfallsjournal.com/opinion/warmth-is-wonderful----in-moderation/article_951bef76-d084-11ec-b776-47527ffa8aac.html,3.6127598769186275
loss,member,https://nypost.com/2022/06/21/massive-heat-dome-to-bake-large-parts-of-us-this-week/,2.3858371229450626
loss,member,https://nation.africa/kenya/business/safaricom-s-call-to-block-canadian-rival-rejected-3790280,2.6593324360684054
loss,member,https://www.41nbc.com/hooked-on-science-potato-launcher-2/,3.24361361161293
loss,member,https://www.kansan.com/sports/kansas-finishes-just-outside-top-ten-in-arizona/article_b7345226-b5e3-11ec-a6fc-9fdcbef1032b.html,2.0700654575634436
loss,member,https://nypost.com/2022/05/08/i-quit-my-job-and-now-i-regret-it-can-i-go-back/,2.5909018669947526
loss,member,https://tribuneonlineng.com/tetfund-coheads-demands-review-of-sharing-formula-in-favour-of-polytechnics/,2.177917485299649
loss,member,https://www.wbko.com/prnewswire/2022/06/16/nielsens-gauge-finds-streaming-captures-nearly-32-total-tv-viewing-may-third-consecutive-record-breaking-month-digital-format/,0.3569445925252553
loss,member,https://www.wbko.com/2022/05/27/senate-gop-blocks-domestic-terrorism-bill-gun-policy-debate/,0.035545003385083485
loss,member,https://www.forexlive.com/centralbank/icymi-rba-to-raise-the-cash-rate-target-by-50bp-in-july-boa-forecast-20220701/,3.1432110414814227
loss,member,https://www.katc.com/news/national/faith-leaders-in-korean-american-community-tackle-domestic-abuse,0.3912175293379039
loss,member,https://www.wspa.com/reviews/br/apparel-br/outerwear-br/best-batman-hoodie/,0.09581565068547014
loss,member,https://www.wyomingnews.com/rawlinstimes/news/legislators-told-housing-shortage-is-statewide/article_3cd656e0-63f8-599e-bc76-97a8268923e8.html,2.407558878578629
loss,member,https://www.fergusfallsjournal.com/obituaries/lucille-cary/article_2ff42ed2-1d83-11ed-a9bc-cf97e2f22b5f.html,0.0009373431843239244
loss,member,https://www.fox17online.com/weather/todays-forecast/todays-forecast-sunny-skies-paired-with-low-humidity-will-make-for-a-beautiful-weekend,1.1985244492497182
loss,member,https://www.wbko.com/prnewswire/2022/09/14/illuminating-company-completes-3-million-tree-trimming-project-help-minimize-weather-related-power-outages-cleveland/,0.08482072612747349
loss,member,https://www.wwlp.com/science/ap-science/sweltering-streets-hundreds-of-homeless-die-in-extreme-heat/,0.00961131132151103
loss,member,https://www.insideedition.com/california-man-arrested-for-breaking-into-home-and-watching-couple-sleep-now-charged-in-unrelated,2.145820063115394
loss,member,https://www.wyomingnews.com/wyosports/other_sports/rodeo/co-champions-headline-cfds-time-events/article_97270312-19b2-59bf-bf45-f9febc785e74.html,2.6345947735547965
loss,member,https://www.edinburghnews.scotsman.com/news/opinion/letters/readers-letters-uk-planning-for-grand-theft-water-3821108,2.6901039588445923
loss,member,https://www.siouxlandproud.com/mlb/ramirez-homers-as-guardians-beat-angels-for-6th-straight-win/,0.03240065308018974
loss,member,https://www.onmanorama.com/news/business/2022/05/30/coal-india-import-inventory-low.amp.html,0.7273858662765534
loss,member,https://www.witn.com/prnewswire/2022/06/15/shareholder-alert-gross-law-firm-notifies-shareholders-pegasystems-inc-class-action-lawsuit-lead-plaintiff-deadline-july-18-2022-nasdaq-pega/,0.027194730180351876
loss,member,https://www.siouxlandproud.com/mlb/arcias-2-run-homer-in-9th-lifts-braves-over-red-sox-5-3/,0.11063118071023079
loss,member,https://speedwaydigest.com/index.php/news/nascar-cup-series-news/71015-toyota-racing-weekly-preview-07-06-22,2.0594727624517684
loss,member,https://www.tipranks.com/news/british-stock-market-today-friday-august-19-what-you-need-to-know,2.159913911774218
loss,member,https://www.wpri.com/reviews/br/baby-kids-br/activity-br/best-little-learning-tower/,0.07862149655552227
loss,member,https://www.katc.com/news/national/massachusetts-police-officer-saves-life-of-choking-baby,0.3733777316470286
loss,member,https://www.insidenova.com/culpeper/the-culpeper-food-closet-need-of-the-week/article_4c75a886-f620-11ec-ab97-c7131d2d1d99.html,2.409766518707253
loss,member,https://www.local3news.com/regional-national/biden-downplays-worries-over-economic-downturn-i-dont-think-were-going-to-see-a-recession/article_3b5d4aa9-7d06-5922-bd4a-b8ad9af60ac5.html,1.7002560798507107
loss,member,https://www.wave3.com/prnewswire/2022/07/07/high-tide-acquire-nine-operating-retail-cannabis-stores-choom-holdings/,0.055022768616751434
loss,member,https://www.lockportjournal.com/news/local_news/godfrey-tapped-by-national-association-of-counties/article_ea69fa32-1e6c-11ed-b522-4378699c91ee.html,2.54416363495768
loss,member,https://www.mycentraljersey.com/restricted/?return=https%3A%2F%2Fwww.mycentraljersey.com%2Fstory%2Fsports%2Fhigh-school%2Fsoftball%2F2022%2F05%2F20%2Fsoftball-player-week-watchung-hills-morgan-bobrowski%2F9848048002%2F,0.11591917782081043
loss,member,https://www.pasadenastarnews.com/2022/05/12/kings-todd-mclellan-knows-connor-mcdavid-oilers-face-completely-different-level-of-pressure/,2.3292533162312776
loss,member,https://tribuneonlineng.com/things-to-look-out-for-before-starting-a-business/,2.40930051371995
loss,member,https://www.witn.com/2022/07/30/charlies-first-alert-forecast-rain-showers-help-bring-down-temperatures/,2.404369668182756
loss,member,https://www.printmag.com/daily-heller/the-daily-heller-what-if-movie-posters/,3.315135437257338
loss,member,https://www.yakimaherald.com/explore_yakima/barany-in-the-garden-counting-on-color-in-the-garden/article_b8d57042-8e66-5456-9e2e-01d8ccec9c1f.html,2.928883606630433
loss,member,https://speedwaydigest.com/index.php/news/xfinity-series-news/69165-josh-berry-takes-home-the-checkered-flag-at-the-monster-mile,2.0887193084414255
loss,member,https://www.onmanorama.com/entertainment/entertainment-news/2022/07/15/aisha-sultana-flush-trailer-release-lakshadweep.html,2.886749021677161
loss,member,https://www.pasadenastarnews.com/2022/06/14/la-county-settles-lawsuit-agrees-to-speed-up-calfresh-food-help-for-applicants/,2.7055391987945177
loss,member,https://www.krem.com/article/news/nation-world/musks-twitter-ambitions-to-collide-with-european-tech-rules/507-2e3d968f-9d70-4f6a-8666-a62a286698a1,0.037248750405466394
loss,member,https://www.ninersnation.com/2022/8/17/23309330/49ers-news-vikings-joint-practice-kyle-shanahan-steve-kerr-golden-state-warriors-finals-carter-nfl,2.5278870598523917
loss,member,https://www.wboc.com/obituaries/jerry-lynn-conway/article_5a16a3ba-ebd9-11ec-b448-1394daa4ed6a.html,2.186770630448595
loss,member,https://www.exploreclarion.com/2022/05/18/hearing-continued-for-local-couple-accused-of-abusing-infant/,2.115592348617737
loss,member,https://www.scotsman.com/sport/football/celtic/celtic-and-ange-postecoglou-need-a-result-in-warsaw-to-convince-they-are-more-than-flat-track-bullies-3842226,3.078978903916907
loss,member,https://tribuneonlineng.com/international-charity-day-dame-okowa-defrays-n11-2m-medical-bills-of-53-patients-showers-gifts-on-ex-lepers-others/,2.7367998823347635
loss,member,https://tribuneonlineng.com/2023-take-us-for-granted-at-your-peril-nnpp-chairman-tells-apc-pdp/,2.2978509915433514
loss,member,https://www.wyomingnews.com/wyomingbusinessreport/industry_news/government_and_politics/large-gathering-downtown-protests-against----and-for----a-supreme/article_d8722c3e-d55e-11ec-86f2-1bd5311d311a.html,2.712268170047496
loss,member,https://www.41nbc.com/monster-jam-drivers-we-dont-practice-stunts/,2.645809248460068
loss,member,https://www.classical-music.com/reviews/choral-song/schubert-21-songs/,3.6019711295374663
