method,membership,doc_id,score
loss,member,473,0.720936201821805
loss,member,132,1.735481202101073
loss,member,472,0.7833143985867166
loss,member,46,0.4386492697903902
loss,member,40,0.6324119451768049
loss,member,232,0.3482919843567259
loss,member,45,0.4366739595906448
loss,member,428,0.51465793707708
loss,member,326,0.5927315078220978
loss,member,159,0.4124050745729394
loss,member,291,0.9511179145415314
loss,member,235,0.3657313183088428
loss,member,453,0.4669205109547536
loss,member,107,0.574832771142305
loss,member,367,0.4732680026837518
loss,member,115,0.8556413855573173
loss,member,280,0.5012913685351823
loss,member,357,0.46705170073501096
loss,member,185,0.4098273672878385
loss,member,327,0.6598201320061985
loss,member,53,0.5719936234088957
loss,member,217,0.3563661185085674
loss,member,486,0.6026590620063178
loss,member,51,0.5090791606096394
loss,member,340,0.3707404208214759
loss,member,96,1.021116313164121
loss,member,376,0.4801472092422504
loss,member,446,0.45194202150784746
loss,member,197,0.5297460325628696
loss,member,245,0.42682752255149187
loss,member,225,0.6615576722694974
loss,member,0,0.7330919920442324
loss,member,249,0.7387287246209419
loss,member,390,0.4327777108745274
loss,member,191,0.5343066633180749
loss,member,464,1.236344264734864
loss,member,80,1.7518041523011483
loss,member,239,0.49398282054618226
loss,member,55,1.2122776624603258
loss,member,434,0.7761952868312093
loss,member,469,0.3314202983031712
loss,member,378,0.4225067512574526
loss,member,295,0.23376686717646966
loss,member,171,0.8405316893891116
loss,member,20,0.8771480080368783
loss,member,466,0.39012120835220193
loss,member,397,0.7545237739525892
loss,member,496,0.4604903484350813
loss,member,364,0.86932167489187
loss,member,166,0.6999235956201978
loss,member,489,0.51004130895455
loss,member,454,0.34845791911664703
loss,member,164,0.29801000081847173
loss,member,174,0.5690157544478291
loss,member,494,0.6153412739215549
loss,member,289,0.4576791826456539
loss,member,144,0.4066043034649204
loss,member,33,0.8648042096626256
loss,member,176,0.9007906204381186
loss,member,145,0.9782994250716199
loss,member,168,0.3766678487727791
loss,member,100,0.5381318755338654
loss,member,253,0.30836759437026506
loss,member,61,0.4658993510462029
loss,member,302,0.5009736279228357
loss,member,138,0.6459381028625497
loss,member,131,0.497964384728391
loss,member,273,0.6572862974016646
loss,member,468,0.6870886420634159
loss,member,455,0.6513236996898315
loss,member,150,0.5740785115619238
loss,member,135,0.535301710912162
loss,member,305,0.5023302568122022
loss,member,405,0.4910361675699358
loss,member,307,0.8168410683437244
loss,member,140,0.4212124520502832
loss,member,445,0.5481268151822817
loss,member,83,0.4950845544165763
loss,member,415,0.6337765473646276
loss,member,180,0.43429216067886056
loss,member,265,1.4878780500707849
loss,member,425,0.4414444162804096
loss,member,252,0.422414021524537
