method,membership,doc_id,score
loss,member,473,0.5266745196187052
loss,member,132,1.3774288882184464
loss,member,472,0.6645248656021924
loss,member,46,0.39715093150234454
loss,member,40,0.6130287059889202
loss,member,232,0.3293563336209777
loss,member,45,0.40928723977739234
loss,member,428,0.3662929916774645
loss,member,326,0.3721891469184334
loss,member,159,0.3516669374561207
loss,member,291,1.116170714820597
loss,member,235,0.38884814522899996
loss,member,453,0.5044334244733243
loss,member,107,0.5188956035716794
loss,member,367,0.36111227518680017
loss,member,115,0.8688853706594708
loss,member,280,1.047206554832867
loss,member,357,0.4390977874825179
loss,member,185,0.3585355691674361
loss,member,327,0.5053260814961492
loss,member,53,0.36842948628594946
loss,member,217,0.5453415533331499
loss,member,486,0.5707737089878394
loss,member,51,0.3681754799334916
loss,member,340,0.381836347581359
loss,member,96,1.3549091392024197
loss,member,376,0.44461293502535226
loss,member,446,0.5007323967106921
loss,member,197,1.1139582910400707
loss,member,245,0.35334810657423543
loss,member,225,0.5642893363214682
loss,member,0,0.5423164366809043
loss,member,249,0.5716875868979644
loss,member,390,0.5042718782451255
loss,member,191,0.5111170923133549
loss,member,464,1.1688556302314541
loss,member,80,1.5709282846681005
loss,member,239,0.3589245077354829
loss,member,55,0.9245805082121926
loss,member,434,0.9105478294235199
loss,member,469,0.270220568106725
loss,member,378,0.7077694229714943
loss,member,295,0.14658163318852652
loss,member,171,0.8817111279180238
loss,member,20,0.6156328504824538
loss,member,466,0.3031427128320174
loss,member,397,0.6942735518089235
loss,member,496,0.49190767396181884
loss,member,364,0.8155279121311806
loss,member,166,0.44058849628544056
loss,member,489,0.8344255783336048
loss,member,454,0.38915421393359284
loss,member,164,0.3587239860558334
loss,member,174,0.47899169838828776
loss,member,494,0.45595619440612456
loss,member,289,0.6448852320191918
loss,member,144,0.3178872808203
loss,member,33,0.5717455812584725
loss,member,176,0.48766267577382444
loss,member,145,0.5362752610751976
loss,member,168,0.4137993301779913
loss,member,100,0.43715633479751304
loss,member,253,0.31605099431228867
loss,member,61,0.39257477311312633
loss,member,302,0.5034323166076801
loss,member,138,0.808178448906751
loss,member,131,0.3605635041562936
loss,member,273,0.35600818743245405
loss,member,468,0.5317947368173512
loss,member,455,0.5268787656897375
loss,member,150,0.5581340065964826
loss,member,135,0.9872804906976653
loss,member,305,0.3569713551564389
loss,member,405,0.44191899641480686
loss,member,307,0.7973659156533243
loss,member,140,0.37623205967687157
loss,member,445,0.5947960693812782
loss,member,83,0.48905996626431275
loss,member,415,0.5594530827641462
loss,member,180,0.3269912383082389
loss,member,265,1.889104325979518
loss,member,425,0.3173958443551409
loss,member,252,0.528354469208917
loss,member,321,1.0528157757053047
loss,member,476,2.0041235624935676
loss,member,124,0.3455698799967396
loss,member,330,0.48815349009578957
loss,member,222,0.5310412616950742
loss,member,91,0.7559925350569212
loss,member,151,0.45208480564410575
loss,member,373,0.376914554642705
loss,member,351,1.4306560605172611
loss,member,44,0.47808581149062884
loss,member,84,0.8012219577483644
loss,member,108,0.5639262542757107
loss,member,184,0.5398268715517172
loss,member,77,0.2811432768637953
loss,member,79,0.7082101871852541
loss,member,193,1.2798589873408066
loss,member,213,0.41572825930743595
loss,member,471,0.26472393612254747
loss,member,243,0.5185969350589221
loss,member,26,0.3774369342972328
loss,member,361,0.9140892673094644
loss,member,2,0.6928275875668423
loss,member,343,0.584270315669768
loss,member,488,0.5332730445091752
loss,member,304,0.38384832270416186
loss,member,152,0.5044225535791764
loss,member,58,0.7438329173648802
loss,member,72,0.37559587839374214
loss,member,192,0.6330841484993803
loss,member,371,0.6221028497995791
loss,member,318,0.7955251994017614
loss,member,424,0.545389396475326
loss,member,479,0.9992826611959253
loss,member,399,0.638476945838276
loss,member,120,0.6058254621455776
loss,member,353,0.5977365493890662
loss,member,285,0.4595743693824695
loss,member,362,0.5814872443559986
loss,member,178,0.5366385676798018
loss,member,247,0.42533780710202923
loss,member,490,0.5033018215394078
loss,member,50,0.4750596123217237
loss,member,448,0.4121653826085617
loss,member,269,1.4615687903660102
loss,member,369,0.6147454733435483
loss,member,411,0.34464219908881105
loss,member,484,0.494396996777738
loss,member,281,0.3630157083055569
loss,member,293,0.4701167027388336
loss,member,264,0.5090218169404316
loss,member,294,0.6238797084847844
loss,member,377,0.7932478310693469
loss,member,341,0.32554332196486885
loss,member,350,0.46640612236664425
loss,member,284,0.6951765090079991
loss,member,299,0.4080997562624151
loss,member,101,0.5866670786251382
loss,member,246,0.6244432184910887
loss,member,183,0.36586185186781084
loss,member,478,0.8522885792887698
loss,member,211,0.8785073412823511
loss,member,493,0.4335056278068523
loss,member,64,0.3556207429896589
loss,member,438,0.5117319507270223
loss,member,154,0.45432558535154693
loss,member,344,0.3997086970233747
loss,member,230,0.5628458444231833
loss,member,156,2.547214222800297
loss,member,198,1.1739128692122578
loss,member,370,0.42851019326879614
loss,member,383,0.3304714740725946
loss,member,8,0.399339439875432
loss,member,475,0.3951645302291112
loss,member,133,0.5040070261347619
loss,member,242,0.5066088265632176
loss,member,282,0.3844678429215111
loss,member,254,0.2305740228144604
loss,member,259,0.4977793516053478
loss,member,82,0.4718379582035027
loss,member,86,1.771074213315306
loss,member,179,0.36213220686406195
loss,member,315,0.3899458028103263
loss,member,388,0.41914263647583994
loss,member,365,0.4975059669446593
loss,member,261,0.5231407382007506
loss,member,407,0.4811980852288219
loss,member,104,0.35950771610011034
loss,member,358,0.3734192046856256
loss,member,147,0.5288933766417947
loss,member,356,3.4550167776056027
loss,member,447,0.6009912796977285
loss,member,436,0.45752340733722896
loss,member,236,0.5222618946465414
loss,member,283,0.599383648352717
loss,member,312,0.38904832220373464
loss,member,231,0.447773542092311
loss,member,427,0.7568609249982462
loss,member,24,0.36973569222623265
loss,member,298,0.8004999453620197
loss,member,389,0.7302923167414325
loss,member,406,0.3868178771400743
loss,member,452,0.5601195413283372
loss,member,319,0.4554231606599277
loss,member,355,0.9370323821274774
loss,member,68,0.7834175503689567
loss,member,288,0.3498391227882117
loss,member,56,0.29987595686914165
loss,member,413,0.48739563738796515
loss,member,19,1.0447483441945384
loss,member,162,0.4644972463688277
loss,member,203,0.6598474614364874
loss,member,204,0.4651564707014137
loss,member,202,0.39783704929371944
loss,member,30,0.39767744052075477
loss,member,60,0.42109935978816987
loss,member,409,1.304190962614294
loss,member,73,0.5472675764790724
loss,member,345,0.914581278482527
loss,member,3,0.41257671935843077
loss,member,337,0.40336916617115165
loss,member,498,0.4497725672398902
loss,member,404,0.5698955015519208
loss,member,419,0.5956831075196167
loss,member,262,0.4849215276047009
loss,member,226,0.44114260959085305
loss,member,234,0.29050634454454793
loss,member,118,0.4522546396133202
loss,member,292,0.6459070875820208
loss,member,126,0.5640457983796274
loss,member,346,0.36272242424386125
loss,member,47,1.1436385773508724
loss,member,322,0.4784212842268707
loss,member,200,0.7265012278424423
loss,member,127,0.6961581996048195
loss,member,219,0.36430592610899065
loss,member,146,0.4958687430731571
loss,member,241,0.3963917011464733
loss,member,244,0.38865090881133746
loss,member,27,0.3617803542374717
loss,member,386,0.34773620623835105
loss,member,62,0.4238174856595228
loss,member,418,1.3783283944340758
loss,member,495,1.3519933809556308
loss,member,395,0.3584203439716534
loss,member,435,0.4764659233282941
loss,member,381,0.6725412922664774
loss,member,348,0.43938312761583764
loss,member,172,0.4014876902818862
loss,member,391,0.4218717583620709
loss,member,228,0.8061080247220658
loss,member,256,0.44325831031470486
loss,member,324,0.5560255370995486
loss,member,143,0.47465098324112437
loss,member,271,0.6636217304799572
loss,member,374,0.603960654472428
loss,member,38,0.4782916107791667
loss,member,414,0.7639457604882096
loss,member,29,0.5335317543929342
loss,member,210,0.5861027767921528
loss,member,238,0.4093180818345565
loss,member,89,0.5096618803673877
loss,member,368,0.24023064600853133
loss,member,98,0.7599339072362173
loss,member,119,0.6748226393504281
loss,member,148,0.4280699640839578
loss,member,258,0.40297817405305775
loss,member,196,0.39044785959486034
loss,member,384,0.4278916328648097
loss,member,485,0.5366762132298645
loss,member,134,0.6149843947598501
loss,member,260,0.3538511042726805
loss,member,12,1.363174836901387
loss,member,268,0.29873071495848175
loss,member,67,0.5178659959617
loss,member,417,0.40269366510599014
loss,member,229,0.5175798968436263
loss,member,201,0.5380333461722727
loss,member,410,1.2231040686515147
loss,member,7,0.6925616363205406
loss,member,387,0.633717698874981
loss,member,487,0.4654261138034124
loss,member,483,0.325404818715596
loss,member,25,0.4266530009637082
loss,member,92,0.41717372148788096
loss,member,233,1.1423119733489229
loss,member,402,0.39305273886321457
loss,member,181,0.46033962609053014
loss,member,75,1.2447849845603092
loss,member,250,0.6007893762632648
loss,member,354,0.39806211794543217
loss,member,165,0.43979018365499284
loss,member,352,0.759126030172342
loss,member,457,0.35377080396687416
loss,member,149,1.4877401453699788
loss,member,70,0.44634216174353863
loss,member,255,4.143332463466019
loss,member,306,1.5045140885208448
loss,member,393,0.36124833426815356
loss,member,54,0.8887265579354832
loss,member,433,0.45458352581667216
loss,member,169,0.4391942275042219
loss,member,460,0.5358337904782805
loss,member,215,0.2542303407648043
loss,member,444,0.3827554438390998
loss,member,450,0.8428189864132113
loss,member,158,0.39785614335706515
loss,member,499,1.3478391827675507
loss,member,459,0.34072074540195807
loss,member,95,0.37727862223816394
loss,member,477,0.46012256515668465
loss,member,334,0.4076646773863423
loss,member,186,0.785868305496597
loss,member,263,0.4802492966201712
loss,member,257,0.464533301621099
loss,member,338,0.4299003389998041
loss,member,336,0.5514127916869592
loss,member,443,0.3166494405720586
loss,member,310,0.3001634083959902
loss,member,88,0.6597647012306468
loss,member,379,0.353998016798385
loss,member,463,0.42566361144450054
loss,member,248,0.34153709345122796
loss,member,214,0.47172145953762473
loss,member,37,0.3630177964856748
loss,member,392,0.6563204602413206
loss,member,270,0.45631130051443164
loss,member,382,0.431172346947918
loss,member,276,0.4242077622364077
loss,member,161,0.5123804391662419
loss,member,216,0.6204690083726828
loss,member,207,1.5136969977339714
loss,member,331,0.5380325941774204
loss,member,173,0.5108971519428903
loss,member,112,1.2572953170720769
loss,member,18,0.4169174030753223
loss,member,153,0.35870481382439134
loss,member,11,0.5370758440223766
loss,member,421,1.189849714636684
loss,member,205,0.3753158270146639
loss,member,335,0.9040251226477719
loss,member,465,0.4647676828574499
loss,member,66,0.7736135594541285
loss,member,9,0.7583609923329347
loss,member,400,0.3437324367528163
loss,member,59,0.803861472434311
loss,member,423,0.5394462646964783
loss,member,429,0.6498322881577963
loss,member,4,0.37312545841364986
loss,member,94,0.31739539451344806
loss,member,48,0.7273963116270922
loss,member,323,0.7994242734600987
loss,member,93,0.23252357090914944
loss,member,328,0.2860471671957872
loss,member,251,0.5439431680989616
loss,member,360,0.4454798042324249
loss,member,32,0.5151672607602937
loss,member,155,0.6632037839087446
loss,member,128,0.7313251404383867
loss,member,121,0.4289123267712282
loss,member,227,0.6758832213817515
loss,member,130,1.4457623285963765
loss,member,81,0.3511906503073294
loss,member,308,0.6775895346787966
loss,member,311,0.47573564168032784
loss,member,52,0.30300615445849116
loss,member,416,0.6268293603992948
loss,member,342,1.1073780250000798
loss,member,28,0.9304906899934945
loss,member,441,0.43981961147938653
loss,member,209,0.5077330133912167
loss,member,106,1.2544007828955022
loss,member,426,0.3779752030865058
loss,member,492,0.4224087275568566
loss,member,21,0.5356794330076298
loss,member,218,0.47356731567234167
loss,member,439,1.9629787623957287
loss,member,266,0.420571874261986
loss,member,347,0.7210548548194351
loss,member,470,0.473794247021966
loss,member,363,0.7055499848258765
loss,member,39,0.2699117038441453
loss,member,385,0.6916385973574197
loss,member,188,0.8901845716613548
loss,member,13,0.45151124464290127
loss,member,189,0.49151430518049066
loss,member,380,0.8709573035838735
loss,member,394,1.5924505155115514
loss,member,220,0.3670680446777321
loss,member,5,0.5061180527702914
loss,member,85,0.4197987706174582
loss,member,403,0.3310763653181879
loss,member,442,0.37043940853587254
loss,member,401,1.4206488479586838
loss,member,332,0.5965991329857527
loss,member,278,0.5417937184384165
loss,member,359,0.6687166758173271
loss,member,78,0.5801803527894324
loss,member,462,0.5198870817546837
loss,member,375,0.4982692076368873
loss,member,481,0.7313662276702384
loss,member,114,0.7384957235515842
loss,member,170,0.4298138044147776
loss,member,339,0.8659033527966055
loss,member,123,0.6026058952326967
loss,member,301,0.805197188424204
loss,member,103,0.44129746832682365
loss,member,90,0.5699339820389602
loss,member,199,0.7472199736766256
loss,member,274,0.432912436650069
loss,member,422,0.5724595746817402
loss,member,206,0.4937758188414112
loss,member,87,1.0341470953331988
loss,member,221,1.1653893095592966
loss,member,142,0.3971367552806645
loss,member,111,0.39697806836777766
loss,member,329,0.5497256544549451
loss,member,408,1.20819610073423
loss,member,277,0.4325563997663476
loss,member,349,0.5719018227490374
loss,member,456,0.5724042936766683
loss,member,187,0.8346991791110979
loss,member,65,0.47323974173027217
loss,member,474,0.4575103239715944
loss,member,99,0.4555299718712325
loss,member,71,1.1829200628182646
loss,member,497,1.0421646542979777
loss,member,69,0.4199367245514812
loss,member,412,0.4331304357402046
loss,member,125,0.38052243572749567
loss,member,177,0.3563955046014981
loss,member,224,0.40338036836327623
loss,member,482,0.9472709967849369
loss,member,117,1.7152291685076004
loss,member,74,0.9625821126577337
loss,member,372,0.3929365308369193
loss,member,10,0.46421635474402423
loss,member,116,0.3852489516308951
loss,member,430,0.6903285688354343
loss,member,157,0.4546134185111157
loss,member,63,1.007902174432047
loss,member,223,0.513518025709875
loss,member,1,0.5243388405862413
loss,member,42,0.6742815992503972
loss,member,122,0.44254530766175404
loss,member,17,0.49917018042975714
loss,member,167,0.5326897008733391
loss,member,297,0.5328745626654288
loss,member,309,0.4288445003343126
loss,member,76,0.39313607396898903
loss,member,313,0.4041167356910342
loss,member,296,0.3616316032490539
loss,member,208,0.3885717768595114
loss,member,325,0.4663578604833076
loss,member,31,0.5957558947148249
loss,member,129,0.5941626982771642
loss,member,440,0.7014352211336378
loss,member,105,0.6265724313639067
loss,member,290,0.40909531659203746
loss,member,267,0.6886753824552114
loss,member,398,1.1876830922477286
loss,member,212,0.739094376047575
loss,member,43,0.6440043706098618
loss,member,467,0.5070641525530315
loss,member,160,0.7055888687096554
loss,member,317,0.4487624762278574
loss,member,57,0.5236621135717239
loss,member,279,0.9714426292843775
loss,member,23,0.47418549517613867
loss,member,420,0.4319774902624992
loss,member,272,0.3878237755861281
loss,member,15,0.5457865316301024
loss,member,432,0.5266843141067139
loss,member,316,0.2863963386232811
loss,member,109,0.35249493373011354
loss,member,137,0.8120934070206526
loss,member,190,0.9404204484878846
loss,member,287,0.39976712409808557
loss,member,451,0.4914827175417827
loss,member,16,0.24210017456351948
loss,member,300,0.5433726789379357
loss,member,240,0.33983951714026017
loss,member,110,0.918589242009851
loss,member,431,3.052961439055199
loss,member,195,0.39025336798198457
loss,member,34,0.42616055893114163
loss,member,286,0.42425621364905725
loss,member,314,0.46692468265469245
loss,member,458,0.3839201323762666
loss,member,35,1.415115385541867
loss,member,333,1.0831598179341666
loss,member,182,0.6399255574140762
loss,member,49,0.7646223030529261
loss,member,6,0.4149452795751801
loss,member,102,2.027144121245296
loss,member,175,0.6253382202271592
loss,member,139,0.3201618287627501
loss,member,480,0.37253975159320735
loss,member,41,0.628525461672505
loss,member,366,0.7387325002039848
loss,member,22,0.4092040006503832
loss,member,275,0.4189758096149446
loss,member,163,0.30140609186892386
loss,member,320,0.40164537863988203
loss,member,303,1.4883868116974814
loss,member,113,0.7468395270808651
loss,member,237,0.7171619986327737
loss,member,396,0.3902144281559477
loss,member,437,0.6891944836179497
loss,member,491,1.1088748602875664
loss,member,14,0.4336522958758753
loss,member,141,0.47245102943614775
loss,member,194,0.465588900710083
loss,member,36,1.6438675095191433
loss,member,97,0.35698871478887956
loss,member,449,0.6099494790582819
loss,member,461,0.43887048184921373
loss,member,136,0.6186271294328168
loss,nonmember,473,0.5266745196187052
loss,nonmember,132,1.3774288882184464
loss,nonmember,472,0.6645248656021924
loss,nonmember,46,0.39715093150234454
loss,nonmember,40,0.6130287059889202
loss,nonmember,232,0.3293563336209777
loss,nonmember,45,0.40928723977739234
loss,nonmember,428,0.3662929916774645
loss,nonmember,326,0.3721891469184334
loss,nonmember,159,0.3516669374561207
loss,nonmember,291,1.116170714820597
loss,nonmember,235,0.38884814522899996
loss,nonmember,453,0.5044334244733243
loss,nonmember,107,0.5188956035716794
loss,nonmember,367,0.36111227518680017
loss,nonmember,115,0.8688853706594708
loss,nonmember,280,1.047206554832867
loss,nonmember,357,0.4390977874825179
loss,nonmember,185,0.3585355691674361
loss,nonmember,327,0.5053260814961492
loss,nonmember,53,0.36842948628594946
loss,nonmember,217,0.5453415533331499
loss,nonmember,486,0.5707737089878394
loss,nonmember,51,0.3681754799334916
loss,nonmember,340,0.381836347581359
loss,nonmember,96,1.3549091392024197
loss,nonmember,376,0.44461293502535226
loss,nonmember,446,0.5007323967106921
loss,nonmember,197,1.1139582910400707
loss,nonmember,245,0.35334810657423543
loss,nonmember,225,0.5642893363214682
loss,nonmember,0,0.5423164366809043
loss,nonmember,249,0.5716875868979644
loss,nonmember,390,0.5042718782451255
loss,nonmember,191,0.5111170923133549
loss,nonmember,464,1.1688556302314541
loss,nonmember,80,1.5709282846681005
loss,nonmember,239,0.3589245077354829
loss,nonmember,55,0.9245805082121926
loss,nonmember,434,0.9105478294235199
loss,nonmember,469,0.270220568106725
loss,nonmember,378,0.7077694229714943
loss,nonmember,295,0.14658163318852652
loss,nonmember,171,0.8817111279180238
loss,nonmember,20,0.6156328504824538
loss,nonmember,466,0.3031427128320174
loss,nonmember,397,0.6942735518089235
loss,nonmember,496,0.49190767396181884
loss,nonmember,364,0.8155279121311806
loss,nonmember,166,0.44058849628544056
loss,nonmember,489,0.8344255783336048
loss,nonmember,454,0.38915421393359284
loss,nonmember,164,0.3587239860558334
loss,nonmember,174,0.47899169838828776
loss,nonmember,494,0.45595619440612456
loss,nonmember,289,0.6448852320191918
loss,nonmember,144,0.3178872808203
loss,nonmember,33,0.5717455812584725
loss,nonmember,176,0.48766267577382444
loss,nonmember,145,0.5362752610751976
loss,nonmember,168,0.4137993301779913
loss,nonmember,100,0.43715633479751304
loss,nonmember,253,0.31605099431228867
loss,nonmember,61,0.39257477311312633
loss,nonmember,302,0.5034323166076801
loss,nonmember,138,0.808178448906751
loss,nonmember,131,0.3605635041562936
loss,nonmember,273,0.35600818743245405
loss,nonmember,468,0.5317947368173512
loss,nonmember,455,0.5268787656897375
loss,nonmember,150,0.5581340065964826
loss,nonmember,135,0.9872804906976653
loss,nonmember,305,0.3569713551564389
loss,nonmember,405,0.44191899641480686
loss,nonmember,307,0.7973659156533243
loss,nonmember,140,0.37623205967687157
loss,nonmember,445,0.5947960693812782
loss,nonmember,83,0.48905996626431275
loss,nonmember,415,0.5594530827641462
loss,nonmember,180,0.3269912383082389
loss,nonmember,265,1.889104325979518
loss,nonmember,425,0.3173958443551409
loss,nonmember,252,0.528354469208917
loss,nonmember,321,1.0528157757053047
loss,nonmember,476,2.0041235624935676
loss,nonmember,124,0.3455698799967396
loss,nonmember,330,0.48815349009578957
loss,nonmember,222,0.5310412616950742
loss,nonmember,91,0.7559925350569212
loss,nonmember,151,0.45208480564410575
loss,nonmember,373,0.376914554642705
loss,nonmember,351,1.4306560605172611
loss,nonmember,44,0.47808581149062884
loss,nonmember,84,0.8012219577483644
loss,nonmember,108,0.5639262542757107
loss,nonmember,184,0.5398268715517172
loss,nonmember,77,0.2811432768637953
loss,nonmember,79,0.7082101871852541
loss,nonmember,193,1.2798589873408066
loss,nonmember,213,0.41572825930743595
loss,nonmember,471,0.26472393612254747
loss,nonmember,243,0.5185969350589221
loss,nonmember,26,0.3774369342972328
loss,nonmember,361,0.9140892673094644
loss,nonmember,2,0.6928275875668423
loss,nonmember,343,0.584270315669768
loss,nonmember,488,0.5332730445091752
loss,nonmember,304,0.38384832270416186
loss,nonmember,152,0.5044225535791764
loss,nonmember,58,0.7438329173648802
loss,nonmember,72,0.37559587839374214
loss,nonmember,192,0.6330841484993803
loss,nonmember,371,0.6221028497995791
loss,nonmember,318,0.7955251994017614
loss,nonmember,424,0.545389396475326
loss,nonmember,479,0.9992826611959253
loss,nonmember,399,0.638476945838276
loss,nonmember,120,0.6058254621455776
loss,nonmember,353,0.5977365493890662
loss,nonmember,285,0.4595743693824695
loss,nonmember,362,0.5814872443559986
loss,nonmember,178,0.5366385676798018
loss,nonmember,247,0.42533780710202923
loss,nonmember,490,0.5033018215394078
loss,nonmember,50,0.4750596123217237
loss,nonmember,448,0.4121653826085617
loss,nonmember,269,1.4615687903660102
loss,nonmember,369,0.6147454733435483
loss,nonmember,411,0.34464219908881105
loss,nonmember,484,0.494396996777738
loss,nonmember,281,0.3630157083055569
loss,nonmember,293,0.4701167027388336
loss,nonmember,264,0.5090218169404316
loss,nonmember,294,0.6238797084847844
loss,nonmember,377,0.7932478310693469
loss,nonmember,341,0.32554332196486885
loss,nonmember,350,0.46640612236664425
loss,nonmember,284,0.6951765090079991
loss,nonmember,299,0.4080997562624151
loss,nonmember,101,0.5866670786251382
loss,nonmember,246,0.6244432184910887
loss,nonmember,183,0.36586185186781084
loss,nonmember,478,0.8522885792887698
loss,nonmember,211,0.8785073412823511
loss,nonmember,493,0.4335056278068523
loss,nonmember,64,0.3556207429896589
loss,nonmember,438,0.5117319507270223
loss,nonmember,154,0.45432558535154693
loss,nonmember,344,0.3997086970233747
loss,nonmember,230,0.5628458444231833
loss,nonmember,156,2.547214222800297
loss,nonmember,198,1.1739128692122578
loss,nonmember,370,0.42851019326879614
loss,nonmember,383,0.3304714740725946
loss,nonmember,8,0.399339439875432
loss,nonmember,475,0.3951645302291112
loss,nonmember,133,0.5040070261347619
loss,nonmember,242,0.5066088265632176
loss,nonmember,282,0.3844678429215111
loss,nonmember,254,0.2305740228144604
loss,nonmember,259,0.4977793516053478
loss,nonmember,82,0.4718379582035027
loss,nonmember,86,1.771074213315306
loss,nonmember,179,0.36213220686406195
loss,nonmember,315,0.3899458028103263
loss,nonmember,388,0.41914263647583994
loss,nonmember,365,0.4975059669446593
loss,nonmember,261,0.5231407382007506
loss,nonmember,407,0.4811980852288219
loss,nonmember,104,0.35950771610011034
loss,nonmember,358,0.3734192046856256
loss,nonmember,147,0.5288933766417947
loss,nonmember,356,3.4550167776056027
loss,nonmember,447,0.6009912796977285
loss,nonmember,436,0.45752340733722896
loss,nonmember,236,0.5222618946465414
loss,nonmember,283,0.599383648352717
loss,nonmember,312,0.38904832220373464
loss,nonmember,231,0.447773542092311
loss,nonmember,427,0.7568609249982462
loss,nonmember,24,0.36973569222623265
loss,nonmember,298,0.8004999453620197
loss,nonmember,389,0.7302923167414325
loss,nonmember,406,0.3868178771400743
loss,nonmember,452,0.5601195413283372
loss,nonmember,319,0.4554231606599277
loss,nonmember,355,0.9370323821274774
loss,nonmember,68,0.7834175503689567
loss,nonmember,288,0.3498391227882117
loss,nonmember,56,0.29987595686914165
loss,nonmember,413,0.48739563738796515
loss,nonmember,19,1.0447483441945384
loss,nonmember,162,0.4644972463688277
loss,nonmember,203,0.6598474614364874
loss,nonmember,204,0.4651564707014137
loss,nonmember,202,0.39783704929371944
loss,nonmember,30,0.39767744052075477
loss,nonmember,60,0.42109935978816987
loss,nonmember,409,1.304190962614294
loss,nonmember,73,0.5472675764790724
loss,nonmember,345,0.914581278482527
loss,nonmember,3,0.41257671935843077
loss,nonmember,337,0.40336916617115165
loss,nonmember,498,0.4497725672398902
loss,nonmember,404,0.5698955015519208
loss,nonmember,419,0.5956831075196167
loss,nonmember,262,0.4849215276047009
loss,nonmember,226,0.44114260959085305
loss,nonmember,234,0.29050634454454793
loss,nonmember,118,0.4522546396133202
loss,nonmember,292,0.6459070875820208
loss,nonmember,126,0.5640457983796274
loss,nonmember,346,0.36272242424386125
loss,nonmember,47,1.1436385773508724
loss,nonmember,322,0.4784212842268707
loss,nonmember,200,0.7265012278424423
loss,nonmember,127,0.6961581996048195
loss,nonmember,219,0.36430592610899065
loss,nonmember,146,0.4958687430731571
loss,nonmember,241,0.3963917011464733
loss,nonmember,244,0.38865090881133746
loss,nonmember,27,0.3617803542374717
loss,nonmember,386,0.34773620623835105
