method,membership,doc_id,score
loss,member,https://kobi5.com/news/annual-overdose-awareness-day-this-saturday-195696/,2.0967862017601893
loss,member,https://kobi5.com/news/local-news/rooster-crow-festival-returns-190726/,2.5035684242634586
loss,member,https://kobi5.com/news/josephine-county-investigators-seize-destroy-14000-marijuana-plants-191400/,1.9745407230709948
loss,member,https://kobi5.com/news/local-news/river-rafting-season-is-in-full-swing-in-shady-cove-191884/,2.8960290450272312
loss,member,https://kobi5.com/news/odf-battling-the-cheney-creek-fire-in-josephine-county-192101/,2.5390789657872963
loss,member,https://kobi5.com/news/asante-has-been-named-a-top-15-health-system-in-the-nation-191262/,2.4756517194144787
loss,member,https://kobi5.com/news/missing-northern-california-teen-found-in-nevada-187331/,2.112912689967217
loss,member,https://kobi5.com/news/us-and-world-news/jcso-search-and-rescue-unit-used-in-mckinney-fire-rescue-efforts-193008/,2.879778920691188
loss,member,https://kobi5.com/news/free-admission-for-josephine-co-fair-this-year-193324/,2.326032448141325
loss,member,https://kobi5.com/news/woman-accused-of-starting-the-fawn-fire-deemed-fit-to-stand-trial-186839/,2.2900594957275815
loss,member,https://kobi5.com/news/oregonians-contemplate-the-increasing-likelihood-that-roe-v-wade-will-be-overturned-188059/,2.15454699890263
loss,member,https://kobi5.com/news/ashland-cave-junction-dmv-offices-temporarily-closing-due-to-staffing-shortage-189261/,3.006871696696957
loss,member,https://kobi5.com/news/local-news/adults-in-custody-charged-in-connection-with-ods-190972/,2.4387476387204026
loss,member,https://kobi5.com/news/inflation-how-much-more-are-we-really-spending-at-the-grocery-store-191948/,2.327724897704808
loss,member,https://kobi5.com/news/the-southern-oregon-golf-tournament-kicks-off-194786/,2.619863493917028
loss,member,https://kobi5.com/news/baby-owls-bring-joy-to-sky-lakes-medical-center-staff-188337/,2.6172476187395883
loss,member,https://kobi5.com/news/several-fire-crews-help-put-out-medford-structure-fire-195492/,2.9040679660704036
loss,member,https://kobi5.com/news/breaking-major-evacuations-underway-in-and-around-weed-california-194856/,2.4628375400201494
loss,member,https://kobi5.com/news/oregon-camp-aims-to-create-a-safe-and-welcoming-place-for-young-refugees-195076/,2.669881057524942
loss,member,https://kobi5.com/news/oregons-wildfire-risk-map-will-be-reexamined-odf-says-193109/,2.552157205324333
loss,member,https://kobi5.com/news/local-news/oregon-state-marine-board-shares-boating-safety-tips-189283/,2.4482714205128304
loss,member,https://kobi5.com/news/local-news/mpd-fight-between-rival-group-of-mostly-juveniles-escalated-to-shooting-at-rogue-valley-mall-187632/,2.4295020921090975
loss,member,https://kobi5.com/news/local-news/budget-survey-sent-to-ashland-residents-189682/,2.491745537421665
loss,member,https://kobi5.com/news/biden-expected-to-announce-new-sanctions-against-russia-186755/,1.9380314565458958
loss,member,https://kobi5.com/news/talent-middle-school-substitute-teacher-accused-of-sex-crimes-used-to-work-at-butt-falls-charter-school-187169/,2.726523913849527
loss,member,https://kobi5.com/features/five-on-5-stan-pulliam-r-candidate-oregon-governor-188034/,1.589027525659922
loss,member,https://kobi5.com/news/if-la-nina-continues-what-does-that-mean-for-oregon-this-summer-187890/,2.337454040138497
loss,member,https://kobi5.com/news/debris-removal-begins-following-mill-fire-195470/,2.8796296895978957
loss,member,https://kobi5.com/features/five-on-5-andrew-kalloch-d-candidate-u-s-representative-oregon-4th-district-187086/,1.258271055243179
loss,member,https://kobi5.com/news/van-meter-fire-burning-around-3500-acres-southwest-of-klamath-falls-195267/,2.5902971476890606
loss,member,https://kobi5.com/news/jcso-arrest-child-pornography-suspect-in-central-point-193937/,2.434325043977409
loss,member,https://kobi5.com/news/marijuana-grow-operation-near-eagle-point-shut-down-by-police-189762/,1.9343048065315251
loss,member,https://kobi5.com/news/white-house-pushes-for-war-crime-trial-for-putin-186734/,1.9742715004456064
loss,member,https://kobi5.com/news/local-news/former-rogue-retreat-head-mccomas-opens-up-on-departure-193847/,2.608573905816971
loss,member,https://kobi5.com/news/local-teacher-recounts-his-time-in-ukraine-195764/,2.54621263811684
loss,member,https://kobi5.com/news/rum-creek-fire-grows-to-over-1200-acres-194416/,2.482590057982728
loss,member,https://kobi5.com/news/woman-allegedly-steals-items-from-medford-charter-school-187567/,2.569495841470103
loss,member,https://kobi5.com/news/local-news/forest-service-worker-dies-in-mckinney-fire-193230/,1.9659653637638317
loss,member,https://kobi5.com/news/multiple-vehicles-involved-in-fatal-douglas-county-crash-191311/,1.8914731796642734
loss,member,https://kobi5.com/features/better-health/social-wellness-188955/,3.2715518566070716
loss,member,https://kobi5.com/news/portland-street-response-demonstrated-success-in-first-year-psu-report-finds-187716/,2.5616482173007773
loss,member,https://kobi5.com/news/cal-fire-responds-to-multiple-lightning-caused-fires-over-the-weekend-191276/,3.036394674223819
loss,member,https://kobi5.com/news/local-news/oregons-annual-bottle-hunt-kicks-off-this-week-191154/,2.8165675283241325
loss,member,https://kobi5.com/features/your-place-your-money/andrus-award-for-community-service-193500/,3.6752066944541486
loss,member,https://kobi5.com/news/local-news/josephine-co-yet-to-declare-drought-187777/,2.83534245800417
loss,member,https://kobi5.com/news/odf-using-helicopters-to-fight-fires-191102/,2.7378018716434944
loss,member,https://kobi5.com/news/missing-womans-body-found-at-landfill-north-of-corvallis-boyfriend-arrested-193430/,2.012182290113516
loss,member,https://kobi5.com/news/health-news/covid-cases-rise-in-oregon-and-washington-hospitalizations-follow-gentler-path-187652/,2.200187182001508
loss,member,https://kobi5.com/news/fina-adopts-new-policy-for-trans-women-swimmers-190318/,1.854816128129215
