method,membership,doc_id,score
ref-stablelm-base-alpha-3b-v2,member,https://www.valleynewslive.com/prnewswire/2022/09/15/guild-guardians-teams-up-with-biggest-names-esports-bring-web3-gaming-millions/,-2.0485266875958907
ref-stablelm-base-alpha-3b-v2,member,https://www.kalb.com/prnewswire/2022/08/15/daewoong-pharmaceutical-announces-us-fda-clearance-ind-application-dwp213388-first-in-class-irreversible-oral-dual-acting-inhibitor-autoimmune-diseases/,-1.6049726493262875
ref-stablelm-base-alpha-3b-v2,member,https://www.kxii.com/prnewswire/2022/08/11/florida-southern-college-doctor-nursing-practice-students-present-capstone-projects/,-1.7187759860822394
ref-stablelm-base-alpha-3b-v2,member,https://www.weau.com/prnewswire/2022/06/08/new-office-model-ushering-reduced-carbon-improved-circularity/,-1.740853864593869
ref-stablelm-base-alpha-3b-v2,member,https://wcfcourier.com/news/local/education/uni-interpreters-theatre-opening-fall-season-with-roses-are-red/article_8d54ba24-9622-5889-b40a-02bad07a8ee5.html,0.3660668703297869
ref-stablelm-base-alpha-3b-v2,member,https://kion546.com/cnn-other/2022/06/08/atlanta-passenger-cleared-security-with-bag-that-may-have-held-a-gun-official-says-2/,-0.12743298191554686
ref-stablelm-base-alpha-3b-v2,member,https://www.mynews13.com/fl/orlando/ap-online/2022/08/24/utah-sues-biden-over-move-to-restore-2-national-monuments,-2.1599979201740003
ref-stablelm-base-alpha-3b-v2,member,https://www.wric.com/news/u-s-world/why-bidens-bet-on-a-rapid-economic-rebound-may-have-backfired/,-2.368066537582826
ref-stablelm-base-alpha-3b-v2,member,https://www.seattlepi.com/business/article/Business-Highlights-Wall-Street-rally-17264378.php,-1.9712196478998947
ref-stablelm-base-alpha-3b-v2,member,https://www.apr.org/2008-07-13/small-town-murder-in-sarah-graves-eastport,0.5244546427130117
ref-stablelm-base-alpha-3b-v2,member,https://www.kold.com/prnewswire/2022/06/10/sony-electronics-introduces-two-new-car-av-receivers/,-1.9491814772018239
ref-stablelm-base-alpha-3b-v2,member,https://www.arkansasonline.com/news/2022/jun/02/this-weeks-professional-golf-tournaments/,0.4421944079741884
ref-stablelm-base-alpha-3b-v2,member,https://www.beaumontenterprise.com/news/article/Magnified-sunlight-Texas-wildfire-Possum-Kingdom-17338230.php,0.07141248240336173
ref-stablelm-base-alpha-3b-v2,member,https://www.dakotanewsnow.com/prnewswire/2022/06/09/honor-discusses-future-mobile-imaging-counterpoint-research-webinar/,-2.1401878136439514
