method,membership,doc_id,score
loss,member,https://www.wfaa.com/article/news/local/state-fair/big-tex-new-shirt-2022-state-fair-of-texas/287-b7b4c981-d7af-4901-90f3-bdd905141408,2.853863373214771
loss,member,https://www.thestarpress.com/story/news/local/2023/06/18/new-labor-market-data-is-eye-opening-but-under-used-michael-j-hicks/70327513007/,3.03982738283211
loss,member,https://www.11alive.com/article/news/local/missing-in-georgia/missing-13-year-old-dekalb-county/85-a906a3b6-d642-43fb-9baf-8cb5a28e31cc,1.4243772017438259
loss,member,https://www.kenoshanews.com/news/local/accident-and-incident/kenosha-police-arrest-two-men-following-crash-foot-chase-at-52nd-street-and-22nd-avenue/article_335b9448-177f-11ed-96ab-97098df24e33.html,1.1505382546213536
loss,member,https://www.journalgazette.net/local/schools/candidates-running-for-sacs-nacs-boards/article_0ab14516-0eb4-11ed-a0c9-073357a7a755.html,2.5974626563719623
loss,member,https://www.wsls.com/news/local/2023/04/19/solutions-to-avoid-expensive-pet-surgery-or-other-treatments/,2.771080044521426
loss,member,https://www.ktvb.com/article/news/local/william-midvale-idaho-man-missing-likely-unable-to-find-way-home-boise-police/277-6a7a9690-8d24-4850-93fa-e79dfce09f5e,2.030541083700181
loss,member,https://www.5newsonline.com/article/news/local/bridge-project-siloam-springs-residents-businesses/527-20539da2-1306-480b-a268-d3d0b59e1b1c,1.819300288221921
loss,member,https://www.albanyherald.com/local/cook-county-citizens-reach-agreement-on-wood-pellet-plant/article_9442fb3e-8e94-11ed-b8dc-932daaba69c9.html,2.6247420291797767
loss,member,https://www.nwitimes.com/news/local/lake/schererville/schererville-family-ymca-undergoes-2nd-renovation-after-opening-1-year-ago/article_ed579498-9e12-5db4-84af-4a994cfff2f4.html,2.9243145925878515
loss,member,https://www.wnep.com/article/news/local/lackawanna-county/motorcycle-wreck-in-lackawanna-county-dunmore-casey-highway/523-47a597d3-ad7e-4838-9605-67cffc33741e,1.8628323450684727
loss,member,https://www.wpxi.com/news/local/pirates-preview-scoring-drought-will-end-eventually-right/7UCJZW76IZCITJLCALDMANBRS4/,2.1217290760688257
loss,member,https://www.wfaa.com/article/news/local/chris-beard-ut-basketball-case-dismissed/269-ec9e82f3-6115-4a0c-bc53-eed38b6f2b7d,2.245331460933031
loss,member,https://www.nwitimes.com/news/local/lake/hobart/review-continues-for-hobart-apartment/article_6d5d891d-551e-543c-b756-94baba2b697a.html,2.4807494559178607
loss,member,https://bismarcktribune.com/life-entertainment/local/events/morton-mandan-public-library-hosting-first-stop-of-little-mo-writers-tour/article_19bc6acc-2b19-11ee-a795-2fb7f4d94f1b.html,3.4186700644605255
loss,member,https://www.kcentv.com/article/news/local/fiance-texas-men-basketball-coach-chris-didnt-strangle-her/269-766e2aad-3948-4336-81f6-3d9588a08fce,2.536740741490971
loss,member,https://www.kgw.com/article/news/local/the-story/oregon-gun-laws-mass-shootings-timeline/283-b92fd8ac-17da-4035-ad35-576447733a57,2.1844670708244696
loss,member,https://www.journalgazette.net/local/police-roundup/article_f057ab46-0ad6-11ed-96ea-0bd128de1757.html,2.09592169310882
loss,member,https://www.clickorlando.com/news/local/2022/06/14/now-hiring-osceola-schools-holds-another-job-fair-for-school-bus-drivers/,1.869310701603581
loss,member,https://www.clickorlando.com/news/local/2023/05/04/13-year-old-found-with-stolen-gun-after-string-of-deltona-car-break-ins-deputies-say/,1.9743844702491178
loss,member,https://azdailysun.com/news/local/crime-and-courts/ash-fork-man-arrested-for-unlawful-imprisonment-assault-after-4-hour-stand-off-with-ccso/article_90caad4e-0649-11ee-ac3b-67e46b9bc666.html,2.1063946854820146
loss,member,https://www.newscentermaine.com/article/news/local/maine-attorney-general-state-trooper-tyler-harrington-was-justified-in-shooting-man-during-kote-aldus-waldo-standoff/97-48af90e1-04a8-4b30-849f-d64be0c05c7d,2.132314241184792
loss,member,https://magicvalley.com/news/local/obituaries/rena-mae-abernathy/article_5529d7a7-bd6d-563c-abee-3bec73d72819.html,2.5483226251687237
loss,member,https://www.koin.com/local/washington-county/hillsboro-woman-suffers-2nd-degree-burns-on-20-of-her-body-in-apartment-fire/,1.947294455358402
loss,member,https://www.ksn.com/news/local/weekend-shooting-turns-deadly-wichita-police-still-looking-for-alleged-suspect/,1.4373276488154962
loss,member,https://greensboro.com/news/local/crime-and-courts/high-point-police-announce-arrests-made-in-recent-undercover-prostitution-operation/article_e6bb2618-f941-11ec-af0b-d7e33fe8e96d.html,2.1352289892712473
loss,member,https://www.journalgazette.net/local/metro-briefs/article_88760f50-da23-11ed-8a83-5394d06dc65d.html,2.4596579473819116
loss,member,https://www.nwitimes.com/news/local/obituaries/diane-m-hutson-reich/article_5419e67a-7ecf-5dab-8992-a3f1a6e52f5f.html,2.2439836339984995
loss,member,https://www.wmar2news.com/local/man-robbed-after-using-an-app-to-set-up-a-date-in-anne-arundel-county,2.029492828213806
loss,member,https://www.nbcphiladelphia.com/news/local/officials-78-million-grant-roosevelt-boulevard-safety/3479845/,2.445333364369752
loss,member,https://www.kimt.com/news/local/gas-tracker-prices-climb-post-christmas/article_e182e648-14d2-11ed-9744-c791856883d2.html,2.2714505814804955
loss,member,https://www.wnep.com/article/news/local/luzerne-county/troopers-elderly-man-scammed-out-of-110000-fairmount-township-wnep/523-7926619c-8898-4b2b-a18d-2d1bc4c1cde1,2.433896812315117
loss,member,https://www.greenvilleonline.com/story/news/local/2023/04/18/nikki-haley-tim-scott-could-be-formidable-if-they-get-a-boost-in-sc-donald-trump-white-house/70109077007/,2.895837906056367
loss,member,https://www.djournal.com/news/local/northeast-mississippi-youth-foundation-to-give-6k-in-grants-this-weekend/article_cf337337-46d2-52e5-900b-e5261b4b50f6.html,2.2423901186590203
loss,member,https://pressofatlanticcity.com/news/local/draft-climate-report-for-upper-township-includes-difficult-predictions/article_58c15e1c-7034-11ed-8277-b7c68527d4bf.html,2.7084421276190573
loss,member,https://www.wthr.com/article/news/local/impd-2-injured-1-seriously-northeast-side-crash/531-b55955f5-dace-4667-9f45-1e5779a029e8,2.056216724413337
loss,member,https://www.wjhl.com/news/local/general-manager-of-south-fork-utility-district-resigns/,2.2529775271243975
loss,member,https://www.wjhl.com/news/local/construction-begins-at-niswonger-childrens-hospital-expanding-3-floors/,2.4007938693583144
loss,member,https://nbc-2.com/news/local/inland-counties/2023/05/24/residents-evacuated-from-clewiston-nursing-home-after-roof-collapses/,2.2289261413791897
loss,member,https://www.expressnews.com/news/local/article/Conroe-brewery-Rittenhouse-17719492.php,2.269088955196792
loss,member,https://www.wsls.com/news/local/2022/08/10/part-of-lakeside-drive-in-lynchburg-closed-due-to-accident-involving-power-lines/,2.28973019715022
loss,member,https://www.abc10.com/article/news/local/california/chp-memorial-ceremony-newsom-capitol-sacramento/103-37d8b9cf-0a58-48e8-87fa-329126fce79e,2.208137560217467
loss,member,https://tucson.com/opinion/local/local-opinion-passage-of-prop-412-is-vital-to-tucson-public-safety/article_c27b4390-e7c6-11ed-a2a6-97ad422f1c58.html,2.56984988898082
loss,member,https://www.idahopress.com/news/local/increase-in-988-calls-possible-medicaid-expansion-repeal-discussed-at-idaho-health-and-welfare-board/article_c913dcf6-ae39-11ed-b13f-5b4251d320da.html,2.390223252885816
loss,member,https://wcfcourier.com/news/local/crime-and-courts/clerk-describes-2020-store-masked-robbery/article_94a8afab-eac5-54f7-a61b-496ab98974e1.html,2.8580455758878855
loss,member,https://www.knoxnews.com/story/news/local/2022/09/02/cirrus-aircraft-employee-dies-texas-plane-crash/7972715001/,2.154911934866224
loss,member,https://www.idahopress.com/news/local/drilling-down-treasure-valley-residents-leaders-talk-well-construction-water-issues/article_3592a546-8d3e-11ed-8208-03fd1c65801a.html,2.652304641947961
loss,member,https://www.cantonrep.com/story/news/local/2023/01/24/sebring-timothy-gabrelcik-jack-haney-village-manager-ohio/69822850007/,2.357394008105823
loss,member,https://www.nwitimes.com/news/local/several-hurt-in-winfield-township-crash/article_9c2d387a-08c7-11ee-bfbd-df908c116685.html,2.7991902599507745
loss,member,https://wcfcourier.com/news/local/crime-and-courts/trial-begins-for-cedar-falls-man-who-allegedly-hit-another-man-with-wrench-during-parking/article_2a45fd0b-7b0e-50a3-9450-e864511d383b.html,2.506577223504309
loss,member,https://www.wthr.com/article/news/local/indianapolis-city-leaders-share-updates-on-gun-violence-reduction-strategy-crime-mayor-joe-hogsett/531-9cd2106b-b35b-4d7b-b0f7-f23a1cd2a661,2.9244608166434305
loss,member,https://www.nbcdfw.com/news/local/new-menu-additions-at-toyota-stadium-in-frisco/3033659/,2.399794947955935
loss,member,https://www.wthr.com/article/news/local/sold-out-girl-scout-raspberry-rally-cookie-resold-online/530-de023797-44dd-4c79-9c9b-c31e771f5262,2.652552036635999
loss,member,https://www.ksn.com/news/local/west-wichita-intersection-to-temporarily-close-monday/,1.8674805198232889
loss,member,https://www.albanyherald.com/local/westover-grad-awarded-albany-womans-club-scholarship/article_db52353a-ea70-11ec-973e-dfd55b7b7cae.html,0.0009373431843239244
loss,member,https://www.journalgazette.net/local/commissioners-approve-agreement-with-downtown-improvement-district/article_80f0754c-d017-11ed-b3d3-6b79cecc9640.html,2.455863570695226
loss,member,https://www.kenoshanews.com/news/local/mascot-madness-in-the-2023-ncaa-tounrey/article_2cf77abe-c345-11ed-a4d6-ef0442c11d4d.html,3.2380688506338746
loss,member,https://www.kens5.com/article/news/local/crash-electric-scooter-downtown/273-961385b5-c77e-41ba-b2f5-aecfe3541fd5,0.9859734962428047
loss,member,https://dentonrc.com/news/local/denton-holiday-hours-and-closures-to-note-over-christmas-new-years-2022/article_bcfc4485-f95d-54e4-b381-62037274d400.html,1.5694979104230706
loss,member,https://www.cantonrep.com/story/news/local/stark-county/2023/02/13/akron-canton-regional-foodbank-provided-23-million-meals-last-year/69891562007/,2.2396999345246544
loss,member,https://www.mcall.com/news/local/mc-nws-moore-township-couple-75th-anniversary-20221225-jdhborpr4ban3d67lvmdnk5mni-story.html,2.567560425928144
loss,member,https://bismarcktribune.com/news/local/meeting-set-on-east-main-avenue-corridor-study/article_88f25404-b7ad-11ed-b4ad-a7a46e3d5632.html,2.381601420342027
loss,member,https://www.wsls.com/news/local/2022/08/31/unsafe-conditions-lead-to-safety-concerns-in-montgomery-county-schools/,2.2622579295799468
loss,member,https://www.nbcphiladelphia.com/news/local/new-video-shows-discrimination-at-sesame-place-lawyers-say/3318414/,1.366242042765662
loss,member,https://www.nbcphiladelphia.com/news/local/crash-septa-bus-stolen-car/3554376/,2.637482215945078
loss,member,https://www.nbcnewyork.com/news/local/why-smoke-is-more-likely-to-cause-heavy-air-travel-delays-than-fog-or-precipitation/4405942/,3.149378603461704
loss,member,https://theworldlink.com/news/local/coos-bay-district-sells-8-million-board-feet-of-timber/article_57a03b88-e876-11ed-a9ca-772ee1134cd9.html,2.7232274960940854
loss,member,https://www.nbcphiladelphia.com/news/local/long-beach-island-uses-new-marketing-to-attract-visitors-2/3548329/,2.1685093310293
loss,member,https://www.floridatoday.com/story/news/local/environment/2023/01/05/county-commission-add-businesspeople-to-eel-advisory-panel/69778120007/,2.6937508680631614
loss,member,https://www.wjhl.com/news/local/wetlands-water-park-opens-for-the-season-with-extended-seating-and-swim-lessons/,2.388248650507379
loss,member,https://www.wfaa.com/article/news/local/empty-patios-struggling-staff-weeks-extreme-heat-hurting-dfw-restaurants/287-9032c5af-7ff4-4dd6-bc11-7ef4fe0d7408,2.2808535092025943
loss,member,https://www.wpxi.com/news/local/huntington-national-bank-take-location-last-downtown-mcdonalds-restaurant/FGT5W6L74FCEXCK5NXSYI4GPJQ/,2.4972800140790006
loss,member,https://www.abc12.com/news/local/salvation-army-accepting-christmas-assistance-signups-in-flint-on-oct-25/article_07615cdc-5150-11ed-867d-ab5f85bbd6a7.html,1.9896232339296105
loss,member,https://www.greenvilleonline.com/story/news/local/2022/05/24/taylors-pastor-frank-page-named-report-on-southern-baptist-convention-sexual-abuse-scandal/9912216002/,2.8012826984442816
loss,member,https://journalstar.com/news/local/some-lincoln-pools-to-be-open-shorter-hours-and-offer-fewer-services/article_54cc8d77-1f2e-5990-bb0b-acf18d0b2b8b.html,2.9440315651623625
loss,member,https://pressofatlanticcity.com/news/local/south-jersey-hospital-births-for-may-30/article_fd33a0fa-fbed-11ed-b4f2-6fc0b643d9b1.html,2.5472342812376736
loss,member,https://www.idahopress.com/news/local/orthopedic-surgeon-accused-of-misdemeanor-sexual-battery-on-patients-at-boise-clinic/article_05c3b5c8-28a6-11ed-a025-474b7b0a31ce.html,1.0574357633933362
loss,member,https://azdailysun.com/news/local/housing-in-flagstaff-couple-rethinks-making-city-home-after-experience-housing-market-woes/article_29900608-0d0f-11ed-ab31-7338bd0f0775.html,2.40704798991648
loss,member,https://pantagraph.com/news/local/extraordinary-woman-alexis-kalish-recognized-for-literacy-service-work/article_3d6d2c52-4124-11ed-a240-cfdd0f510683.html,2.749323809365869
loss,member,https://www.weareiowa.com/article/news/local/fatal-warren-county-crash-iowa-state-patrol-leonard-texas-man/524-c287db5e-b140-46b7-8c81-ce9bc1f754ef,2.107837131526058
loss,member,https://tucson.com/opinion/local/local-opinion-new-federal-criminalization-effort-will-fuel-cross-border-illicit-markets-and-undermine-public/article_d3d38238-fff4-11ed-a04d-370f97b10815.html,2.7367311426157652
loss,member,https://www.abc10.com/article/news/local/folsom-orangevale/prison-inmate-camilo-banoslopez-homicide/103-efd2c6fd-0395-46af-81b0-eee277f8ddee,1.8829541954532485
loss,member,https://www.abc12.com/news/local/flint-city-council-members-residents-file-lawsuit-against-mayor-sheldon-neeley/article_92d64e38-267c-11ee-9427-c71f1d1e6bf9.html,2.427842063703264
loss,member,https://www.wnep.com/article/news/local/lackawanna-county/volunteers-keep-st-anns-novena-running-smoothly-basilica-shrine-devotion/523-4b2b21cf-ef68-4a9e-94cb-e77b18e6a716,2.3164478925800607
loss,member,https://www.clickorlando.com/news/local/2023/03/09/1-dead-3-hospitalized-in-fatal-osceola-county-crash/,1.571025453779999
loss,member,https://greensboro.com/news/local/joel-dobson-tracked-down-the-story-of-a-broken-arrow-a-lost-or-accidentally-detonated/article_fcb75b60-53ac-11ed-931e-fff1a967bc0a.html,2.5016553468273037
loss,member,https://www.heraldtimesonline.com/story/news/local/2023/03/16/bloomington-family-mourns-loss-devastation-in-earthquake-in-turkey/69953659007/,2.864397960470266
loss,member,https://www.clickorlando.com/news/local/2022/07/12/daytona-ranks-no-1-and-orlando-no-8-in-pedestrian-deaths-study-says/,2.64632524306587
loss,member,https://www.journalgazette.net/local/schools/two-fort-wayne-high-schools-launch-new-model-as-academic-year-begins/article_f9491a98-18c6-11ed-be0a-a3aa41722bfd.html,3.262409539018752
loss,member,https://www.detroitnews.com/story/news/local/michigan/2023/05/12/msu-hires-laura-rugless-cornell-to-lead-office-of-institutional-equity-title-ix/70213556007/,2.4532431095643585
loss,member,https://www.wjhl.com/news/local/2-transported-to-hospital-after-condition-upset-at-nfs-facility/,2.3208864451038744
loss,member,https://www.knoxnews.com/story/news/local/tennessee/2023/04/13/environmental-groups-sue-epa-over-industrial-wastewater-regulations/70104137007/,2.6707238936130575
loss,member,https://greensboro.com/news/local/colfax-fire-transfer-kernersville-department/article_f82f350a-16c4-11ee-a6ba-3f8e4fa7665a.html,2.3252459596296697
loss,member,https://journalstar.com/news/local/education/southeast-nebraska-voters-to-consider-43m-bond-to-build-consolidated-school-in-tecumseh/article_23dc57f6-f2dc-569f-9b23-f6a3ce8ca33b.html,2.6366621232274587
loss,member,https://journalstar.com/news/local/other-room-presents-tiny-bar-concert-series-each-wednesday/article_a65008f2-c28e-11ed-8edb-ffafa60cc6f3.html,2.9935567619073327
loss,member,https://www.clickorlando.com/news/local/2023/06/19/15-year-old-faces-accused-of-almost-running-over-tavares-officer-in-stolen-vehicle/,1.9894719335315239
loss,member,https://www.fox43.com/article/news/local/planning-for-clean-water-in-susquehanna-county-dimock-attorney-general-coterra-energy-pennsylvania-american-water/523-c3a20a6a-06ad-438b-a74a-c6da9a6eed79,2.7453433041182422
loss,member,https://www.myfoxzone.com/article/news/local/uvalde-mom-st-marys-graduate/273-faa356be-2ec3-41cc-8c9e-bd8217645a91,2.492609660712838
loss,member,https://www.11alive.com/article/news/local/vice-president-kamala-harris-georgia/85-5663beef-47b3-43ec-b60f-ec57d1acc7bd,2.077261746989257
loss,member,https://www.koin.com/local/clark-county/wa-man-convicted-of-teens-murder-to-get-early-prison-release-after-life-sentence/,2.7486707758912345
loss,member,https://greensboro.com/news/local/update-pickleball-courts-reopen-in-greensboro/article_91e77266-9c22-11ed-8a72-07673fb8ac87.html,1.8078502592040773
loss,member,https://www.fox43.com/article/news/local/harrisburg-residents-turn-out-for-once-a-year-family-fishing-day-italian-lake/521-84815bd1-00e7-4e42-bd13-b207ade73c22,2.424197565010172
loss,member,https://wcfcourier.com/news/local/crime-and-courts/waterloo-convicted-teen-murderer-returned-to-prison-for-parole-violation/article_c1a02fb0-0474-11ee-a7fe-6b2a48e05e3f.html,2.7213434386831654
loss,member,https://www.king5.com/article/news/local/tacoma/man-prompted-olympic-national-park-evacuation-pleads-guilty/281-0e407763-188f-4ffb-8496-d08e33b739f2,2.617081771746965
loss,member,https://www.nwitimes.com/news/local/crime-courts/gary-home-nurse-restrained-bruised-bedridden-mentally-incapacitated-patient-police-say/article_3d723a84-f688-11ed-98ee-43270050efb1.html,1.14161650387396
loss,member,https://www.delmarvanow.com/story/news/local/maryland/2023/03/14/look-inside-junior-achievements-mini-indoor-city-to-teach-life-skills/70004763007/,2.977613066632443
loss,member,https://bismarcktribune.com/news/local/health/covid-19-remains-at-low-level-in-north-dakota/article_17c3bc4c-d56b-11ed-bfa1-9b94a43932b6.html,2.0034420879530197
loss,member,https://www.journalgazette.net/local/on-the-move/article_36d5454c-ecf0-11ec-ac5b-6f48c2c78957.html,3.3252859391647025
loss,member,https://www.nbcdfw.com/local/collin-countys-real-estate-market-finally-seems-to-tip-toward-buyers/3072795/,1.8566105175639347
