method,doc_id,score_m0,score_m1
loss,https://www.albanyherald.com/features/kevin-sproul-constitutional-carry/article_76ab34da-c95d-11ec-b2a1-9bfb38a7e4ca.html,2.0837146742102464,2.0837146742102464
loss,https://www.binghamtonhomepage.com/science-and-technology/ap-china-warns-of-artificial-intelligence-risks-calls-for-beefed-up-national-security-measures/,2.883104544583852,2.883104544583852
loss,https://www.kron4.com/news/business/ap-business/ap-from-carmakers-to-refiners-industries-brace-for-rail-strike/,2.93968235318324,2.93968235318324
loss,https://www.ourmidland.com/weather/article/TX-Corpus-Christi-TX-Zone-Forecast-17270685.php,0.9624463076321008,0.9624463076321008
loss,https://www.dakotanewsnow.com/sports/betting/2023/06/30/ryan-jeffers-mlb-player-prop-bets/,3.3714516551969336,3.3714516551969336
loss,https://www.mrt.com/news/article/Atlanta-rapper-Paper-Lovee-gets-7-years-for-gun-17398125.php,2.8875702157061944,2.8875702157061944
loss,https://www.wfla.com/reviews/br/home-br/sewing-craft-supplies-br/everything-you-need-to-start-crocheting-at-home/,2.891498629452763,2.891498629452763
loss,https://www.sfchronicle.com/sports/article/cone-scores-25-northern-arizona-tops-sacramento-17775656.php,4.703257724913465,4.703257724913465
loss,https://wtmj.com/ap-news/2022/05/26/ap-top-business-news-at-820-p-m-edt-7/,1.5936684380857125,1.5936684380857125
loss,https://www.mrt.com/news/article/Judge-acquits-Patriot-Prayer-founder-1-other-in-17315863.php,3.319816235965401,3.319816235965401
min_k,https://www.albanyherald.com/features/kevin-sproul-constitutional-carry/article_76ab34da-c95d-11ec-b2a1-9bfb38a7e4ca.html,6.358275059291294,6.358275059291294
min_k,https://www.binghamtonhomepage.com/science-and-technology/ap-china-warns-of-artificial-intelligence-risks-calls-for-beefed-up-national-security-measures/,7.503653114597972,7.503653114597972
min_k,https://www.kron4.com/news/business/ap-business/ap-from-carmakers-to-refiners-industries-brace-for-rail-strike/,7.468371575161562,7.468371575161562
min_k,https://www.ourmidland.com/weather/article/TX-Corpus-Christi-TX-Zone-Forecast-17270685.php,3.8222789065400176,3.8222789065400176
min_k,https://www.dakotanewsnow.com/sports/betting/2023/06/30/ryan-jeffers-mlb-player-prop-bets/,8.559073828939182,8.559073828939182
min_k,https://www.mrt.com/news/article/Atlanta-rapper-Paper-Lovee-gets-7-years-for-gun-17398125.php,7.708481744619516,7.708481744619516
min_k,https://www.wfla.com/reviews/br/home-br/sewing-craft-supplies-br/everything-you-need-to-start-crocheting-at-home/,7.438429477479723,7.438429477479723
min_k,https://www.sfchronicle.com/sports/article/cone-scores-25-northern-arizona-tops-sacramento-17775656.php,10.377698460140744,10.377698460140744
min_k,https://wtmj.com/ap-news/2022/05/26/ap-top-business-news-at-820-p-m-edt-7/,6.891369191083041,6.891369191083041
min_k,https://www.mrt.com/news/article/Judge-acquits-Patriot-Prayer-founder-1-other-in-17315863.php,8.467830888156232,8.467830888156232
zlib,https://www.albanyherald.com/features/kevin-sproul-constitutional-carry/article_76ab34da-c95d-11ec-b2a1-9bfb38a7e4ca.html,0.0013919269700803,0.0013919269700803
zlib,https://www.binghamtonhomepage.com/science-and-technology/ap-china-warns-of-artificial-intelligence-risks-calls-for-beefed-up-national-security-measures/,0.0011762972438122,0.0011762972438122
zlib,https://www.kron4.com/news/business/ap-business/ap-from-carmakers-to-refiners-industries-brace-for-rail-strike/,0.001106391551819,0.001106391551819
zlib,https://www.ourmidland.com/weather/article/TX-Corpus-Christi-TX-Zone-Forecast-17270685.php,0.0002813347873814,0.0002813347873814
zlib,https://www.dakotanewsnow.com/sports/betting/2023/06/30/ryan-jeffers-mlb-player-prop-bets/,0.0027817257881162,0.0027817257881162
zlib,https://www.mrt.com/news/article/Atlanta-rapper-Paper-Lovee-gets-7-years-for-gun-17398125.php,0.0035693080540249,0.0035693080540249
zlib,https://www.wfla.com/reviews/br/home-br/sewing-craft-supplies-br/everything-you-need-to-start-crocheting-at-home/,0.0010981764639015,0.0010981764639015
zlib,https://www.sfchronicle.com/sports/article/cone-scores-25-northern-arizona-tops-sacramento-17775656.php,0.0095984851528846,0.0095984851528846
zlib,https://wtmj.com/ap-news/2022/05/26/ap-top-business-news-at-820-p-m-edt-7/,0.0102817318586175,0.0102817318586175
zlib,https://www.mrt.com/news/article/Judge-acquits-Patriot-Prayer-founder-1-other-in-17315863.php,0.0024410413499745,0.0024410413499745
ne-5,https://www.albanyherald.com/features/kevin-sproul-constitutional-carry/article_76ab34da-c95d-11ec-b2a1-9bfb38a7e4ca.html,-0.8645270642466065,-0.8645270642466065
ne-5,https://www.binghamtonhomepage.com/science-and-technology/ap-china-warns-of-artificial-intelligence-risks-calls-for-beefed-up-national-security-measures/,-0.4108042407109455,-0.4108042407109455
ne-5,https://www.kron4.com/news/business/ap-business/ap-from-carmakers-to-refiners-industries-brace-for-rail-strike/,-0.5856416605903059,-0.5856416605903059
ne-5,https://www.ourmidland.com/weather/article/TX-Corpus-Christi-TX-Zone-Forecast-17270685.php,-7.914587984991783e-08,-7.914587984991783e-08
ne-5,https://www.dakotanewsnow.com/sports/betting/2023/06/30/ryan-jeffers-mlb-player-prop-bets/,-0.4830186983899081,-0.4830186983899081
ne-5,https://www.mrt.com/news/article/Atlanta-rapper-Paper-Lovee-gets-7-years-for-gun-17398125.php,-0.7811694124213124,-0.7811694124213124
ne-5,https://www.wfla.com/reviews/br/home-br/sewing-craft-supplies-br/everything-you-need-to-start-crocheting-at-home/,-0.4587016435873656,-0.4587016435873656
ne-5,https://www.sfchronicle.com/sports/article/cone-scores-25-northern-arizona-tops-sacramento-17775656.php,-0.7618848725114882,-0.7618848725114882
ne-5,https://wtmj.com/ap-news/2022/05/26/ap-top-business-news-at-820-p-m-edt-7/,-0.3786242390275305,-0.3786242390275305
ne-5,https://www.mrt.com/news/article/Judge-acquits-Patriot-Prayer-founder-1-other-in-17315863.php,-0.8028913397397637,-0.8028913397397637
ref-stablelm-base-alpha-3b-v2,https://www.albanyherald.com/features/kevin-sproul-constitutional-carry/article_76ab34da-c95d-11ec-b2a1-9bfb38a7e4ca.html,0.5523879632771214,0.5523879632771214
ref-stablelm-base-alpha-3b-v2,https://www.binghamtonhomepage.com/science-and-technology/ap-china-warns-of-artificial-intelligence-risks-calls-for-beefed-up-national-security-measures/,0.4787625717090367,0.4787625717090367
ref-stablelm-base-alpha-3b-v2,https://www.kron4.com/news/business/ap-business/ap-from-carmakers-to-refiners-industries-brace-for-rail-strike/,0.7382987567289563,0.7382987567289563
ref-stablelm-base-alpha-3b-v2,https://www.ourmidland.com/weather/article/TX-Corpus-Christi-TX-Zone-Forecast-17270685.php,0.6697320486636865,0.6697320486636865
ref-stablelm-base-alpha-3b-v2,https://www.dakotanewsnow.com/sports/betting/2023/06/30/ryan-jeffers-mlb-player-prop-bets/,1.571883674055411,1.571883674055411
ref-stablelm-base-alpha-3b-v2,https://www.mrt.com/news/article/Atlanta-rapper-Paper-Lovee-gets-7-years-for-gun-17398125.php,1.1560536105239854,1.1560536105239854
ref-stablelm-base-alpha-3b-v2,https://www.wfla.com/reviews/br/home-br/sewing-craft-supplies-br/everything-you-need-to-start-crocheting-at-home/,0.7865062976245123,0.7865062976245123
ref-stablelm-base-alpha-3b-v2,https://www.sfchronicle.com/sports/article/cone-scores-25-northern-arizona-tops-sacramento-17775656.php,2.7624574348576703,2.7624574348576703
ref-stablelm-base-alpha-3b-v2,https://wtmj.com/ap-news/2022/05/26/ap-top-business-news-at-820-p-m-edt-7/,0.5671088660843482,0.5671088660843482
ref-stablelm-base-alpha-3b-v2,https://www.mrt.com/news/article/Judge-acquits-Patriot-Prayer-founder-1-other-in-17315863.php,0.9634705714245748,0.9634705714245748
